"abrechnungsjahr";"erdgas";"fluessiggas";"heizoel";"strom";"waerme"
2002;18,9795012912789;0;37,7948258358069;0;43,2256728729142
2003;7,33961956095845;0;57,9632744048451;0;34,6971060341964
2004;7,31773851149258;0;74,8793459064392;0;17,8029155820682
2005;26,492765865527;0;50,5259290939083;0;22,9813050405648
2006;20,0642297917393;0;57,6359061896673;0;22,2998640185934
2007;24,7011146251916;0;46,0568461340564;0;29,242039240752
2008;12,2547860598634;0;32,3682786507186;0;55,3769352894181
2009;36,0939081051745;0;16,6880647940208;0;47,2180271008047
2010;7,86574752206601;0;30,5609202293615;0;61,5733322485725
2011;6,74887166350738;0;62,1378710038532;0;31,1132573326394
2012;15,7952773359272;0,517268846138113;53,9633576890518;0;29,7240961288828
2013;10,2240901885355;0;60,2355612586288;0;29,5403485528356
2014;35,860732520019;0;35,11200842752;0;29,0272590524609
2015;17,1058496987087;0;23,7516354341679;0;59,1425148671234
2016;8,7300769563626;0;13,9681893447723;0,0200899288915578;77,2816437699735
2017;11,4659123865361;0;11,5886582702602;0,880150004878936;76,0652793383248
2018;0;0;92,4612502115152;7,53874978848481;0
