"abrechnungsjahr";"erdgas";"fluessiggas";"heizoel";"holzpellets";"strom";"waerme"
2002;25,4232272603494;0;40,1740108046671;0;0;34,4027619349835
2003;24,2788188434569;0;54,2380567951156;0;0;21,4831243614276
2004;16,4073433007922;0;61,15369149019;0;0;22,4389652090178
2005;14,6846428730667;0;55,0982749360888;0;0;30,2170821908445
2006;13,1500056393323;0;50,5123881769424;0;0;36,3376061837254
2007;14,188283358164;0,0409150643712312;46,3298709379182;0;0;39,4409306395466
2008;14,5054678542181;0,0240729371861034;57,1048207270364;0,598160384883334;0;27,767478096676
2009;11,0603347617542;0;61,1455177513792;0,44225223998835;0;27,3518952468783
2010;10,308244145201;0;52,9727578375246;1,18132986861339;0;35,5376681486611
2011;9,42139214893039;0;63,8612908718326;0;0,143605118032402;26,5737118612046
2012;12,8705449199281;0;67,7442561959257;0;0;19,3851988841461
2013;13,0091402024797;0;64,9136900812357;0;0;22,0771697162846
2014;14,532336376694;0;70,0335429617053;0;0;15,4341206616007
2015;29,8353202495624;0;37,6836166345698;0;0,176184621654577;32,3048784942132
2016;34,7925032520855;0;34,876114564689;1,0037215818178;0,291099333158797;29,0365612682489
2017;40,1545225655702;0;26,2829948136963;0,776791218889071;1,16072493957231;31,6249664622722
2018;54,0584618226214;0;0;0;2,57773546953858;43,3638027078401
