"abrechnungsjahr";"erdgas";"fluessiggas";"heizoel";"holzpellets";"strom";"waerme"
2002;23,4962922268265;0;61,0200347920523;0;0;15,4836729811212
2003;23,7354035693263;0;52,3584606063825;0;0;23,9061358242913
2004;14,0777621115102;0;70,6860531004764;0;0;15,2361847880133
2005;16,8761258899862;0;70,5454142802777;0,0208864762874643;0;12,5575733534487
2006;22,1731566030692;0;62,6825312157145;0,0224905903657434;0;15,1218215908506
2007;19,0078535924674;0;54,7535143799217;0,0248408924031149;0;26,2137911352078
2008;17,2087685994388;0;54,912441069692;0;0;27,8787903308691
2009;21,464418722199;0,661457976369329;39,4353140542158;0;0;38,4388092472159
2010;22,8098337665006;0;42,3206706479037;0;0;34,8694955855958
2011;21,4940454584388;0,0951018996744397;57,0781771104745;0,351167167556496;0,134677909394408;20,8468304544614
2012;22,2723226458196;1,03922712261451;55,6610714804041;0,228612045666602;0;20,7987667054952
2013;25,301633937118;2,75875085627038;60,6464820159074;0,310484905134221;0;10,98264828557
2014;34,4567972122567;0;30,1476103176664;0;0,379336657658731;35,0162558124182
2015;17,0552799656916;0;23,6948761648722;0;0,34481778992006;58,9050260795161
2016;31,6835456956941;0;28,5746909571003;0;0,42334587001475;39,3184174771909
2017;45,4141366486005;0;33,9779137248108;0;0,803594509040413;19,8043551175483
2018;100;0;0;0;0;0
