"abrechnungsjahr";"erdgas";"fluessiggas";"heizoel";"strom";"waerme"
2002;21,4146484302869;0;2,73009819658145;0;75,8552533731316
2003;54,9141615451002;0;0,625038172509307;0;44,4608002823905
2004;37,200783723201;0,119894194513799;1,20625274952022;0;61,473069332765
2005;24,7579489556091;0,0962846115063552;0,15585002963244;0;74,9899164032521
2006;38,7575136052859;0;11,6814156959366;0;49,5610706987775
2007;42,8847578874154;0;2,27609542931048;0;54,8391466832741
2008;45,7576759154874;0;2,8294597084556;0;51,412864376057
2009;22,2394085954492;0,265514713355768;2,4766249547637;0;75,0184517364313
2010;30,5877369915626;0,163580645801488;3,43764008992894;0;65,811042272707
2011;35,1481666047846;0;1,9289761553458;0;62,9228572398696
2012;38,4462788836671;0;1,64664426565429;0,195009584945568;59,712067265733
2013;30,2180886404389;0;2,05444969999491;0,736063673070397;66,9913979864958
2014;28,0747976725952;0;0;0,418840137091543;71,5063621903132
2015;28,7505494933906;0;0;0,196106915957497;71,0533435906519
2016;54,1118628158163;0;0;0,457363835774636;45,4307733484091
2017;37,340587228853;0;0;0,59454272770603;62,064870043441
2018;100;0;0;0;0
