;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Berlin-Mitte;316.798;317.168;318.168;319.035;320.563;322.770;324.445;326.642;330.032;334.992;340.877;348.194;355.845;363.443;370.514;374.016;377.610
Charlottenburg Wilmersdorf;308.961;308.946;309.041;309.157;309.538;310.281;310.969;312.067;313.912;316.333;319.153;322.778;327.046;330.954;334.646;336.719;338.802
Friedrichshain - Kreuzberg;249.615;251.006;252.619;255.205;257.802;259.381;260.563;261.821;263.628;265.881;269.026;272.487;275.679;278.580;281.700;283.203;284.806
Lichtenberg;252.408;252.406;252.333;251.745;251.503;251.588;251.815;252.663;254.602;257.362;260.729;265.050;270.418;275.566;280.693;283.751;286.620
Marzahn-Hellersdorf;250.346;249.653;249.148;247.826;246.819;245.939;245.670;246.090;247.228;249.145;251.547;254.177;256.733;259.694;262.597;264.203;265.813
Neukölln;303.101;302.858;302.633;302.406;302.869;303.965;304.980;307.283;310.394;313.722;317.335;321.506;324.362;326.568;328.295;328.939;329.232
Pankow;339.979;341.473;343.189;346.608;350.073;352.442;355.255;358.248;361.524;365.644;371.575;377.567;384.044;390.314;396.215;399.178;402.245
Reinickendorf;246.623;246.248;245.653;244.725;243.696;242.637;242.029;242.319;243.467;245.445;248.005;250.911;254.350;257.492;260.192;261.740;263.447
Spandau;218.123;217.958;217.753;217.285;216.855;216.341;216.468;217.210;218.685;220.871;223.866;227.173;231.033;234.800;238.043;239.949;241.722
Steglitz Zehlendorf;285.194;285.291;285.396;285.775;286.386;287.229;288.453;290.028;291.783;293.811;295.721;297.334;299.413;301.679;303.654;304.751;306.413
Tempelhof-Schöneberg;330.507;329.822;329.226;328.026;327.297;327.104;327.400;327.904;328.400;329.391;330.925;333.308;336.657;340.719;344.641;346.859;348.759
Treptow-Köpenick;231.544;231.932;232.408;233.297;234.211;235.244;236.500;237.935;239.708;241.682;244.019;246.811;250.418;254.649;259.414;261.908;264.766
