"bezirk";"anzahl_gebaeude_insgesamt";"wohnflaeche_gebaeude_insgesamt";"anzahl_wohnungen_insgesamt";"anzahl_gebaeude_1FH";"wohnflaeche_gebaeude_1FH";"anzahl_gebaeude_2FH";"wohnflaeche_gebaeude_2FH";"anzahl_wohnungen_2FH";"anzahl_gebaeude_MFH";"wohnflaeche_gebaeude_MFH";"anzahl_wohnungen_MFH";"abrechnungsjahr"
"mitte";12903;121430;183042;556;624;172;315;344;12127;119362;178945;2010
"friedrichshain_kreuzberg";9386;96714;142669;291;366;85;169;170;8998;95869;141434;2010
"pankow";34561;143624;201401;17227;19548;1503;2680;3006;15814;121205;180799;2010
"charlottenburg_wilmersdorf";17503;136503;176381;3725;6219;680;1677;1360;13039;127567;168850;2010
"spandau";26754;84664;115470;16174;19093;1543;2812;3086;9022;62572;95816;2010
"steglitz_zehlendorf";39451;127844;151617;21672;31177;2762;6178;5524;14935;89618;122171;2010
"tempelhof_schoeneberg";28182;131938;177369;12721;15356;1450;2690;2900;13976;113279;160367;2010
"neukoelln";27337;110834;159732;15137;16678;1411;2544;2822;10760;91179;140852;2010
"treptow_koepenick";35488;94150;129791;22147;24013;2005;3614;4010;11307;66264;103142;2010
"marzahn_hellersdorf";29147;92720;131009;20187;22351;1811;3129;3622;6950;64129;102062;2010
"lichtenberg";15067;92987;143822;5270;6197;571;1022;1142;9189;84973;135516;2010
"reinickendorf";34849;97883;127237;21955;26781;2772;5162;5544;10106;65662;99043;2010
"mitte";12921;121696;183265;558;630;173;318;346;12142;119619;179164;2011
"friedrichshain_kreuzberg";9393;97025;142903;292;369;85;169;170;9004;96178;141667;2011
"pankow";34905;144848;202319;17512;19960;1517;2709;3034;15859;121988;181404;2011
"charlottenburg_wilmersdorf";17566;136933;176871;3781;6324;681;1681;1362;13045;127889;169282;2011
"spandau";26875;84886;115665;16282;19258;1553;2834;3106;9025;62606;95883;2011
"steglitz_zehlendorf";39549;128131;151749;21760;31360;2762;6189;5524;14945;89711;122215;2011
"tempelhof_schoeneberg";28212;132160;177551;12744;15403;1450;2690;2900;13983;113454;160526;2011
"neukoelln";27378;110924;159788;15170;16745;1416;2556;2832;10763;91191;140865;2011
"treptow_koepenick";35665;94538;130176;22301;24242;2015;3637;4030;11320;66399;103353;2011
"marzahn_hellersdorf";29417;93082;131320;20441;22675;1823;3151;3646;6954;64145;102095;2011
"lichtenberg";15241;93642;144572;5414;6392;575;1031;1150;9215;85423;136114;2011
"reinickendorf";34968;98107;127375;22065;26950;2778;5175;5556;10109;65704;99059;2011
"mitte";12942;122070;183592;561;644;175;324;350;12158;119973;179484;2012
"friedrichshain_kreuzberg";9406;97272;143110;292;370;86;172;172;9016;96419;141872;2012
"pankow";35309;146504;203736;17836;20437;1535;2751;3070;15920;123115;182421;2012
"charlottenburg_wilmersdorf";17610;137297;177094;3811;6393;681;1683;1362;13060;128195;169538;2012
"spandau";27129;85313;116018;16521;19567;1561;2865;3122;9032;62693;95981;2012
"steglitz_zehlendorf";39676;128565;152018;21869;31586;2764;6202;5528;14961;89907;122371;2012
"tempelhof_schoeneberg";28300;132405;177722;12825;15516;1452;2696;2904;13988;113580;160612;2012
"neukoelln";27450;111074;159889;15235;16849;1422;2569;2844;10764;91224;140889;2012
"treptow_koepenick";35937;95167;130850;22538;24573;2029;3674;4058;11341;66659;103762;2012
"marzahn_hellersdorf";29756;93590;131865;20762;23086;1829;3164;3658;6966;64229;102307;2012
"lichtenberg";15530;94320;145246;5678;6729;582;1046;1164;9233;85767;136450;2012
"reinickendorf";35097;98378;127560;22180;27139;2783;5186;5566;10118;65775;99119;2012
"mitte";12988;123083;184646;565;652;176;328;352;12199;120973;180532;2013
"friedrichshain_kreuzberg";9427;97782;143564;293;389;87;172;174;9035;96911;142323;2013
"pankow";35619;147854;204918;18089;20783;1541;2776;3082;15971;124095;183338;2013
"charlottenburg_wilmersdorf";17674;137792;177448;3861;6499;686;1706;1372;13069;128561;169832;2013
"spandau";27388;85647;116277;16772;19879;1570;2881;3140;9031;62699;95971;2013
"steglitz_zehlendorf";39888;129206;152475;22064;31932;2766;6213;5532;14974;90182;122576;2013
"tempelhof_schoeneberg";28325;132482;177683;12846;15553;1455;2705;2910;13989;113612;160546;2013
"neukoelln";27532;111235;160008;15308;16968;1430;2587;2860;10765;91248;140919;2013
"treptow_koepenick";36114;95715;131369;22670;24764;2044;3708;4088;11371;66983;104119;2013
"marzahn_hellersdorf";30017;93970;132173;21001;23401;1843;3191;3686;6974;64266;102345;2013
"lichtenberg";15833;95102;146170;5951;7095;584;1050;1168;9261;86179;137097;2013
"reinickendorf";35242;98628;127864;22309;27336;2794;5208;5588;10123;65806;99272;2013
