Bezirk;anzahl_gebaeude_insgesamt;wohnflaeche_gebaeude_insgesamt;anzahl_wohnungen_insgesamt;anzahl_gebaeude_1FH;wohnflaeche_gebaeude_1FH;anzahl_gebaeude_2FH;wohnflaeche_gebaeude_2FH;anzahl_wohnungen_2FH;anzahl_gebaeude_MFH;wohnflaeche_gebaeude_MFH;anzahl_wohnungen_MFH;notreqd;notreqd;notreqd
Mitte;12988;123083;184646;565;652;176;328;352;12199;120973;180532;48;1129;3197
Friedrichsh.-Kreuzb.;9427;97782;143564;293;389;87;172;174;9035;96911;142323;12;310;774
Pankow;35619;147854;204918;18089;20783;1541;2776;3082;15971;124095;183338;18;201;409
Charlbg.-Wilmersd.;17674;137792;177448;3861;6499;686;1706;1372;13069;128561;169832;58;1026;2383
Spandau;27388;85647;116277;16772;19879;1570;2881;3140;9031;62699;95971;15;188;394
Steglitz-Zehlendorf;39888;129206;152475;22064;31932;2766;6213;5532;14974;90182;122576;84;879;2303
Tempelh.-Schöneb.;28325;132482;177683;12846;15553;1455;2705;2910;13989;113612;160546;35;612;1381
Neukölln;27532;111235;160008;15308;16968;1430;2587;2860;10765;91248;140919;29;432;921
Treptow-Köpenick;36114;95715;131369;22670;24764;2044;3708;4088;11371;66983;104119;29;260;492
Marzahn-Hellersd.;30017;93970;132173;21001;23401;1843;3191;3686;6974;64266;102345;199;3111;5141
Lichtenberg;15833;95102;146170;5951;7095;584;1050;1168;9261;86179;137097;37;779;1954
Reinickendorf;35242;98628;127864;22309;27336;2794;5208;5588;10123;65806;99272;16;278;695
