"plz";"note";"qkm";"einwohner";"Freq";"prop"
10115;"10115 Berlin Mitte";2,378511;20313;59;0,72642206353115
10117;"10117 Berlin Mitte";3,405839;12217;94;1,15735040630387
10119;"10119 Berlin Mitte";0,977348;16363;106;1,30509726668308
10178;"10178 Berlin Mitte";1,858579;12167;33;0,406303866042847
10179;"10179 Berlin Mitte";2,177483;18664;75;0,923417877370106
10243;"10243 Berlin Friedrichshain";2,858412;28390;117;1,44053188869737
10245;"10245 Berlin Friedrichshain";3,380674;27732;116;1,42821965033243
10247;"10247 Berlin Friedrichshain";1,802458;32718;376;4,62940162521546
10249;"10249 Berlin Friedrichshain";2,317418;25981;168;2,06845604530904
10315;"10315 Berlin Friedrichsfelde";3,629378;28545;70;0,861856685545432
10317;"10317 Berlin Rummelsburg";4,215434;19072;57;0,70179758680128
10318;"10318 Berlin Karlshorst";6,754095;22187;21;0,25855700566363
10319;"10319 Berlin";3,570469;22951;58;0,714109825166215
10365;"10365 Berlin Lichtenberg";4,808729;22665;126;1,55134203398178
10367;"10367 Berlin Lichtenberg";1,697526;18902;44;0,541738488057129
10369;"10369 Berlin Lichtenberg";1,562172;19115;46;0,566362964786998
10405;"10405 Berlin Prenzlauer Berg";1,876978;27350;53;0,652548633341541
10407;"10407 Berlin Prenzlauer Berg";2,773319;21632;90;1,10810145284413
10409;"10409 Berlin Prenzlauer Berg";1,758409;21656;77;0,948042354099975
10435;"10435 Berlin Prenzlauer Berg";0,869217;15359;29;0,357054912583108
10437;"10437 Berlin Prenzlauer Berg";1,473191;27821;46;0,566362964786998
10439;"10439 Berlin Prenzlauer Berg";1,687702;25939;63;0,775671016990889
10551;"10551 Berlin Moabit";1,005908;16424;65;0,800295493720758
10553;"10553 Berlin Moabit";1,60477;8986;36;0,443240581137651
10555;"10555 Berlin Moabit";0,970811;15880;70;0,861856685545432
10557;"10557 Berlin Moabit";3,787173;16312;54;0,664860871706476
10559;"10559 Berlin Moabit";1,231489;14796;69;0,849544447180497
10585;"10585 Berlin Charlottenburg";0,774294;12688;53;0,652548633341541
10587;"10587 Berlin Charlottenburg";1,464405;11069;50;0,615611918246737
10589;"10589 Berlin Charlottenburg";1,826689;12958;31;0,381679389312977
10623;"10623 Berlin Charlottenburg";1,169417;5680;31;0,381679389312977
10625;"10625 Berlin Charlottenburg";0,630709;10488;53;0,652548633341541
10627;"10627 Berlin Charlottenburg";0,722143;11179;39;0,480177296232455
10629;"10629 Berlin Charlottenburg";0,640209;11420;85;1,04654026101945
10707;"10707 Berlin Wilmersdorf";0,854564;11116;65;0,800295493720758
10709;"10709 Berlin Wilmersdorf";0,977757;8771;60;0,738734301896085
10711;"10711 Berlin Halensee";1,049553;9794;39;0,480177296232455
10713;"10713 Berlin Wilmersdorf";1,289325;10686;27;0,332430435853238
10715;"10715 Berlin Wilhelmsdorf";1,18254;15464;53;0,652548633341541
10717;"10717 Berlin Wilmersdorf";0,824487;14042;91;1,12041369120906
10719;"10719 Berlin Wilmersdorf";0,879933;8869;59;0,72642206353115
10777;"10777 Berlin Wilmersdorf";0,68958;12267;54;0,664860871706476
