Jahr	Erdgas	Waerme	Fluessiggas  Heizoel	Holzpellets 	Strom
2002	 240   	 129.3   	 234   	     310    	     40   	 560   
2003	 240   	 129.3   	 234   	     310    	     40   	 560   
2004	 240   	 129.3   	 234   	     310    	     40   	 560   
2005	 240   	 129.3   	 234   	     310   	         40   	 560   
2006	 240   	 129.3   	 234   	     310   	         40   	 560   
2007	 240   	 129.3   	 234   	     310   	         40   	 560   
2008	 240   	 129.3   	 234   	     310    	     40   	 560   
2009	 240   	 129.3   	 234   	     310    	     40   	 560   
2010	 240   	 129.3   	 234   	     310    	     40   	 560   
2011	 240   	 129.3   	 234   	     310   	         40   	 560   
2012	 240   	 129.3   	 234   	     310   	         40   	 560   
2013	 240   	 129.3   	 234   	     310    	     40   	 560   
2014	 240   	 129.3   	 234   	     310    	     40   	 560   
2015	 240   	 129.3   	 234   	     310    	     40   	 560   
2016	 240   	 129.3   	 234   	     310    	     40   	 560   
2017	 240   	 129.3   	 234   	     310   	         40   	 560   
2018	 240   	 129.3   	 234   	     310   	         40   	 560   
