FM	  SDK	   NM	  TMK
 3.82   	 3.01   	 5.53   	 6.01   
 3.55   	 3.95   	 4.81   	 5.35   
 3.80   	 3.03   	 5.55   	 6.43   
 3.71   	 3.53   	 5.33   	 6.40   
 3.50   	 3.00   	 5.67   	 5.59   
 4.07   	 3.31   	 5.63   	 7.43   
 3.75   	 2.97   	 5.78   	 6.90   
 3.38   	 3.49   	 5.58   	 5.99   
 3.48   	 2.84   	 6.08   	 4.78   
 3.78   	 3.94   	 5.09   	 6.17   
 3.67   	 3.22   	 5.68   	 5.93   
 3.42   	 2.51   	 6.10   	 5.40   
 3.56   	 3.37   	 5.71   	 7.69   
 3.85   	 3.76   	 5.46   	 7.71   
 3.67   	 2.73   	 5.92   	 5.52   
 4.06   	 2.70   	 5.99   	 6.41   
 3.87   	 3.15   	 5.65   	 5.31   
