"";"Jahr";"Erdgas";"Waerme";"Fluessiggas";"Heizoel";"Holzpellets";"Strom"
"1";2002;240;129,3;234;310;40;560
"2";2003;240;129,3;234;310;40;560
"3";2004;240;129,3;234;310;40;560
"4";2005;240;129,3;234;310;40;560
"5";2006;240;129,3;234;310;40;560
"6";2007;240;129,3;234;310;40;560
"7";2008;240;129,3;234;310;40;560
"8";2009;240;129,3;234;310;40;560
"9";2010;240;129,3;234;310;40;560
"10";2011;240;129,3;234;310;40;560
"11";2012;240;129,3;234;310;40;560
"12";2013;240;129,3;234;310;40;560
"13";2014;240;129,3;234;310;40;560
"14";2015;240;129,3;234;310;40;560
"15";2016;240;129,3;234;310;40;560
"16";2017;240;129,3;234;310;40;560
"17";2018;240;129,3;234;310;40;560
