"abrechnungsjahr";"mfh_counts";"sfh_counts";"mfh_area";"sfh_area"
2002;617;561;2141724,68;112785,62
2003;1470;1845;4682484,13;326458,49
2004;1659;3129;5108486,87;559854,97
2005;2286;3797;6500073,73;668489,13
2006;2258;3799;6608105,12;667905,04
2007;2129;3613;6709008,55;641917,75
2008;2125;2981;7605202,3;527504,41
2009;2449;2888;10774663,96;512128,12
2010;1576;2749;5733212,95;499885,91
2011;1425;2529;4555442,98;451726,41
2012;1317;2032;4435685,53;361067,43
2013;789;1598;2467701,18;286489,97
2014;446;1326;1531642,38;236393,71
2015;509;1158;1552046,16;249215,78
2016;453;925;1481949,11;174013,64
2017;918;767;2105472,07;144334
2018;31;26;14523,6;4284
