"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom";"abrechnungsjahr"
32304286,104001;70841413,051616;0;24102300,844383;0;0;2002
28200799,9323385;65272158,8452752;0;34319041,2223864;0;0;2003
25890024,5888662;63924865,057449;9036,49185654068;38406073,8618283;0;0;2004
29799151,3464571;59672023,103081;35645,9648958474;39201921,1996077;14258,385958339;0;2005
33259764,5552951;57034986,4531423;131591,76929074;38752580,7270723;14076,49519958;0;2006
31638632,6767388;66454332,056551;19270,2077268928;31520851,5515992;13913,5073840381;0;2007
29203562,6983913;71469624,7648797;166918,6367337;29086434,949403;162686,607297744;110772,343294537;2008
24605507,8582553;82816508,2474229;372595,992534323;22802455,802656;115360,975285581;88571,1238459821;2009
22648973,6759141;77965735,4213365;142344,508839498;29943042,1746187;300386,473661335;435517,745629874;2010
24114266,2742362;65237231,1399187;108228,90807427;42191476,0270186;228201,863257654;178595,787494633;2011
25199123,8984045;67904898,1449977;200119,829504685;38752050,469094;322558,735943573;188248,922055572;2012
27745766,2817667;64170338,9012198;716162,247488977;39599368,6942679;226572,165435363;663791,709821203;2013
27685316,884918;79898455,2780265;0;23652908,1422714;0;2404319,6947841;2014
29858580,1666041;87219739,0619233;0;16566417,1286439;0;566263,642828768;2015
30938126,0503136;93007234,8570795;0;10303202,341523;150588,312712034;361848,438371814;2016
39734564,7528395;82478296,2058908;0;11518230,8295688;131923,275524619;1497984,93617633;2017
29886066,6922955;84956648,490945;175022,641946282;19408915,2857669;199072,560392419;1185274,32865325;2018
