"erdgas","waerme","fluessiggas","heizoel","holzpellets","strom","abrechnungsjahr"
5157060627.25661,9567637660.58201,0,4826785617.74994,0,0,2002
4652418342.17022,9285463292.83362,0,6550473345.60257,0,0,2003
3808459283.99529,8689424153.98347,1017182.09007369,6851456814.49311,0,0,2004
4498174519.55931,7833891673.85076,6639863.35150882,7221312489.49906,759130.718541404,0,2005
5006228796.64613,7720718741.99845,17777969.1299068,7386280892.28189,732462.037775473,0,2006
4550486316.01324,8311114238.30702,875906.559597618,5576544953.05506,761035.357834159,0,2007
4191853726.516,9392539084.27533,20880229.4771874,5053800480.31883,13980344.8148813,17351805.6384945,2008
3808920757.87267,11518320434.7656,50066595.9656927,4167653016.30606,10708480.1111436,12099280.5851658,2009
3542372845.48145,11278095914.4561,18205561.8528642,5404465259.62263,29515290.4932114,51649535.9218153,2010
3638008182.37867,8249835246.24521,16684987.5100222,6963317389.49892,19597353.3589131,12404489.5219632,2011
3726764180.52942,8251912377.80064,45886332.8193468,6548230631.35974,29755033.3750693,25207680.3125732,2012
3779129105.66331,7842383996.84314,114916848.049527,6707625467.89097,19647741.0471136,65468849.9219067,2013
3477425295.13749,9035091743.89722,0,3268898584.41296,0,385756906.61977,2014
3753518151.29392,9610152133.11772,0,2303032290.4194,0,47033206.3900366,2015
4416340020.53232,10638764979.7889,0,1772865289.15428,19516061.0325394,33993976.8830904,2016
4464471392.34717,8944284623.50481,0,1830168160.54625,23542246.8905326,116904751.418131,2017
3677542340.8176,9253406567.94402,23885353.4348123,2750678630.85696,19934590.5742775,129009995.563735,2018
