"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom";"abrechnungsjahr"
13030756,2148437;2764466,12254293;0;12397777,6626134;0;0;2002
11875125,317617;1032587,7571755;0;15617286,9252076;0;0;2003
11973932,0012467;553874,627923728;74433,4990899518;16345239,9595024;15519,912237271;0;2004
14209781,9646671;582238,84956813;219610,401144443;14309664,1359;13169,2492890647;10535,3994312518;2005
14448137,8382921;494809,873571249;242300,222199252;14537101,5212432;13363,1271894579;15287,4175047399;2006
14144825,9573442;605380,837435949;150418,986388833;15261093,1473853;0;11281,0714456798;2007
15567234,3669127;601311,280790998;235058,119703682;14046963,5102198;26534,7639463336;17897,9584265466;2008
15882774,9060138;606315,964255195;219929,431916373;13874242,910153;57499,0687877088;129237,718873941;2009
14238541,4914975;571099,263449934;237223,156479846;15162371,5106313;113228,390854225;688536,18708717;2010
13826867,0189108;658976,413621687;140088,028946548;15981791,3162084;76573,9811404872;579703,241172018;2011
13267773,3213156;527983,991328157;227424,715516434;16753822,1992219;209698,018732955;644297,753884918;2012
13895418,6856873;716870,7260502;223253,595928681;16278599,3793779;111150,010591994;726707,60236388;2013
15600011,709787;649149,772216866;499126,780488364;14914047,0580203;85302,7696887536;560361,9097987;2014
13950133,3690026;5835049,88809296;411248,015675412;11292437,3422903;267713,624715096;857417,76022369;2015
16241968,9548474;1192448,10924017;692196,87606098;13515623,3959591;387440,576497337;910322,087394988;2016
14970648,5807225;1506542,59564621;931733,97813405;12682080,4488201;351057,148696773;2772937,24798038;2017
15535462,7583142;1698307,40504272;663221,126450159;13915400,0570455;312965,915691188;1515642,73745623;2018
