"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom";"abrechnungsjahr"
2217557284,04131;374452412,229251;0;2731794225,55174;0;0;2002
1983859886,35225;121226742,634305;0;3304167282,31656;0;0;2003
1920492500,37753;77165394,0842982;8705663,53463671;3249275461,23161;4985181,47333766;0;2004
2328145483,35708;72894597,7035666;32107666,4248254;2839007328,29167;4564897,21541716;1074093,4624511;2005
2342723436,49029;58804798,4377028;36413995,3831974;2892117674,44098;5105843,89991476;2219567,07489184;2006
2167656831,36967;72449441,2062907;20830558,1680729;2866349864,43914;0;1309963,1818841;2007
2468139633,97178;70572695,1056449;33150418,7214621;2559945763,29512;5503983,90227;2574763,6694819;2008
2574307689,85468;73498829,6358156;26830195,1950185;2535043564,36823;13337025,893406;16981856,8930899;2009
2325455501,04065;76167969,6901955;33056400,8941345;2781135502,5909;17465441,0905323;74326733,0887655;2010
2117392464,98622;77966505,4697539;16429455,2582358;2829446813,63366;6743881,98315921;60623804,2505115;2011
1937891376,32823;55193831,1190692;24030269,9770556;2966191630,04874;27950597,8929255;70442269,9311979;2012
2034671065,75178;77130653,7730169;33806190,5367564;2824346265,84659;20513943,5637521;78627397,2764405;2013
2105292715,16523;55579111,9315132;84852627,181365;2482325889,96668;14298519,0085198;50194950,9794088;2014
1816118030,88685;933445633,100317;61286086,5522516;1841803822,35959;44705327,285179;47790037,8951203;2015
2234326725,99844;108164446,673094;99577914,8060489;2338804054,84393;80204163,9481521;40970759,5333685;2016
2013361836,15125;133861610,892569;148149303,319426;2214514452,27984;56568914,445147;153702786,600866;2017
2089006538,45194;230137279,116125;98102360,8630583;2265762168,58947;52068828,5562861;98206622,4961196;2018
