"SFH";"MFH";"totArea";"abrechnungsjahr"
28193000;127248000;155441000;2002
28525000;127792000;156317000;2003
28963000;128230000;157193000;2004
29345000;128723000;158068000;2005
29751000;129193000;158944000;2006
30173000;129647000;159820000;2007
30495000;130200000;160695000;2008
30770000;130801000;161571000;2009
31011000;131436000;162447000;2010
31264000;132058000;163322000;2011
31631000;132567000;164198000;2012
31952000;133122000;165074000;2013
32308000;133641000;165949000;2014
32614000;134211000;166825000;2015
32940000;134761000;167701000;2016
33215000;135361000;168576000;2017
33641000;135811000;169452000;2018
