"sto_plz";"bundesland";"gebaeude_baujahr";"energietraeger";"abrechnungsjahr";"gebaeude_nutzflaeche";"verbrauch_gesamt_kwh";"verbrauch_gesamt_kwh_spez";"Landkreis_von_GS";"gtype"
"10715";"Berlin";1968;"heizoel";2012;1082,4;134850,24;149,5;"Berlin, Stadt";"MFH"
"12203";"Berlin";1951;"fernwaerme";2008;3036,18;320368;126,62;"Berlin, Stadt";"MFH"
"12169";"Berlin";1962;"fernwaerme";2006;4941,23;647090;157,15;"Berlin, Stadt";"MFH"
"10965";"Berlin";1952;"heizoel";2011;2581,2;477983,52;222,21;"Berlin, Stadt";"MFH"
"13503";"Berlin";1900;"heizoel";2005;733,2;146160;239,21;"Berlin, Stadt";"MFH"
"14197";"Berlin";1913;"fernwaerme";2009;3474;648000;223,84;"Berlin, Stadt";"MFH"
"14057";"Berlin";1970;"heizoel";2004;3000;154999,96;62;"Berlin, Stadt";"MFH"
"10781";"Berlin";1920;"heizoel";2012;3636;586434,24;193,54;"Berlin, Stadt";"MFH"
"10829";"Berlin";1995;"heizoel";2011;420;30240;86,4;"Berlin, Stadt";"MFH"
"14197";"Berlin";1900;"erdgas";2011;1507,2;178664,4;142,25;"Berlin, Stadt";"MFH"
"13088";"Berlin";1970;"erdgas";2008;684;101151;177,46;"Berlin, Stadt";"MFH"
"12207";"Berlin";1968;"heizoel";2005;349,2;109700,64;376,98;"Berlin, Stadt";"MFH"
"12055";"Berlin";1918;"fernwaerme";2012;2192,4;281000;153,8;"Berlin, Stadt";"MFH"
"10247";"Berlin";1910;"fernwaerme";2005;1680;194415;138,87;"Berlin, Stadt";"MFH"
"10625";"Berlin";1979;"fernwaerme";2012;2623,2;266107;121,73;"Berlin, Stadt";"MFH"
"10318";"Berlin";1935;"erdgas";2008;1568,4;73813,5;56,48;"Berlin, Stadt";"MFH"
"13503";"Berlin";1999;"fernwaerme";2008;4380,7;470300;128,82;"Berlin, Stadt";"MFH"
"10715";"Berlin";1972;"heizoel";2006;1362;123348,96;108,68;"Berlin, Stadt";"MFH"
"13355";"Berlin";1970;"erdgas";2003;2018,4;389892,6;231,8;"Berlin, Stadt";"MFH"
"13467";"Berlin";1969;"heizoel";2003;1291,2;195240,02;181,45;"Berlin, Stadt";"MFH"
"10707";"Berlin";1928;"fernwaerme";2004;805,2;120730;179,93;"Berlin, Stadt";"MFH"
"10585";"Berlin";1904;"fernwaerme";2003;1160,4;24868;25,72;"Berlin, Stadt";"MFH"
"10317";"Berlin";1996;"erdgas";2011;1530;179325,9;140,65;"Berlin, Stadt";"MFH"
"10247";"Berlin";1985;"fernwaerme";2008;5441,86;456870;100,75;"Berlin, Stadt";"MFH"
"13189";"Berlin";1907;"erdgas";2003;2898;355365;147,15;"Berlin, Stadt";"MFH"
"10829";"Berlin";1905;"erdgas";2003;1220,4;194830,6;191,57;"Berlin, Stadt";"MFH"
"10405";"Berlin";1910;"erdgas";2009;2918,4;201368,7;82,8;"Berlin, Stadt";"MFH"
"10551";"Berlin";1900;"fernwaerme";2010;2720,21;265572;117,16;"Berlin, Stadt";"MFH"
"10627";"Berlin";2009;"fernwaerme";2011;828;36756;53,27;"Berlin, Stadt";"MFH"
"13437";"Berlin";1977;"fernwaerme";2007;368,4;66000;214,98;"Berlin, Stadt";"MFH"
"12627";"Berlin";1989;"fernwaerme";2006;12875,69;927510;86,44;"Berlin, Stadt";"MFH"
"10243";"Berlin";1900;"erdgas";2011;2400;246443,4;123,22;"Berlin, Stadt";"MFH"
"10825";"Berlin";1900;"fernwaerme";2003;2326,8;277554;143,14;"Berlin, Stadt";"MFH"
"10243";"Berlin";1952;"fernwaerme";2007;25516,8;1165000;54,78;"Berlin, Stadt";"MFH"
"10437";"Berlin";1910;"erdgas";2005;2280;152374,5;80,2;"Berlin, Stadt";"MFH"
"12623";"Berlin";1906;"erdgas";2007;420;62291,7;177,98;"Berlin, Stadt";"MFH"
"10829";"Berlin";1975;"erdgas";2005;1800;240000;160;"Berlin, Stadt";"MFH"
"10777";"Berlin";1956;"fernwaerme";2003;1489,2;146328;117,91;"Berlin, Stadt";"MFH"
"12059";"Berlin";1920;"heizoel";2008;1440;201600;168;"Berlin, Stadt";"MFH"
"10711";"Berlin";1913;"erdgas";2004;720;76500;127,5;"Berlin, Stadt";"MFH"
"12209";"Berlin";1966;"heizoel";2004;445,2;140000,01;377,36;"Berlin, Stadt";"MFH"
"10999";"Berlin";1903;"erdgas";2007;3041,08;385410;152,08;"Berlin, Stadt";"MFH"
"13359";"Berlin";1907;"heizoel";2005;4560;403200;106,11;"Berlin, Stadt";"MFH"
"10407";"Berlin";1965;"fernwaerme";2010;6240;624000;120;"Berlin, Stadt";"MFH"
"10317";"Berlin";1930;"erdgas";2007;3398,4;200907;70,94;"Berlin, Stadt";"MFH"
"10711";"Berlin";1913;"erdgas";2005;720;76500;127,5;"Berlin, Stadt";"MFH"
"13156";"Berlin";2000;"erdgas";2003;1584;178019,1;134,87;"Berlin, Stadt";"MFH"
"10555";"Berlin";1993;"fernwaerme";2009;814,8;47769;70,35;"Berlin, Stadt";"MFH"
"12053";"Berlin";1910;"erdgas";2008;1642,24;160974;117,63;"Berlin, Stadt";"MFH"
"10249";"Berlin";1981;"fernwaerme";2007;5571,6;77980;16,8;"Berlin, Stadt";"MFH"
"12439";"Berlin";1929;"fernwaerme";2012;5996,4;584967;117,06;"Berlin, Stadt";"MFH"
"12627";"Berlin";2000;"fernwaerme";2013;11752,8;837806;85,54;"Berlin, Stadt";"MFH"
"12627";"Berlin";1985;"fernwaerme";2004;8707,2;1008000;138,92;"Berlin, Stadt";"MFH"
"10439";"Berlin";1950;"erdgas";2008;2818,1;427932;182,22;"Berlin, Stadt";"MFH"
"10437";"Berlin";1896;"erdgas";2012;6891,6;614736;107,04;"Berlin, Stadt";"MFH"
"14197";"Berlin";1930;"fernwaerme";2008;8601,85;1718600;239,75;"Berlin, Stadt";"MFH"
"14055";"Berlin";1950;"heizoel";2010;9582;756453,6;94,73;"Berlin, Stadt";"MFH"
"10245";"Berlin";1920;"erdgas";2008;6576;717153,3;130,87;"Berlin, Stadt";"MFH"
"10969";"Berlin";1985;"fernwaerme";2008;10790,05;1291750;143,66;"Berlin, Stadt";"MFH"
"13187";"Berlin";1905;"erdgas";2004;2467,81;324432;157,76;"Berlin, Stadt";"MFH"
"10553";"Berlin";1910;"heizoel";2008;1735,2;138196,8;95,57;"Berlin, Stadt";"MFH"
"12099";"Berlin";1900;"heizoel";2011;2121,6;313780,32;177,48;"Berlin, Stadt";"MFH"
"13407";"Berlin";1960;"heizoel";2010;8707,2;1607276,16;221,51;"Berlin, Stadt";"MFH"
"12205";"Berlin";1918;"fernwaerme";2005;4053,72;612235;181,24;"Berlin, Stadt";"MFH"
"12049";"Berlin";1898;"heizoel";2010;2160;226800;126;"Berlin, Stadt";"MFH"
"13403";"Berlin";2003;"erdgas";2005;480;54000;135;"Berlin, Stadt";"MFH"
"13088";"Berlin";1950;"erdgas";2012;1155,6;63854,1;66,31;"Berlin, Stadt";"MFH"
"10247";"Berlin";1907;"erdgas";2006;952,8;78078,6;98,34;"Berlin, Stadt";"MFH"
"13125";"Berlin";1996;"fernwaerme";2010;2202;232470;126,69;"Berlin, Stadt";"MFH"
"14193";"Berlin";1913;"erdgas";2003;2650,8;399300,3;180,76;"Berlin, Stadt";"MFH"
"10179";"Berlin";1911;"fernwaerme";2004;3612;547300;181,83;"Berlin, Stadt";"MFH"
"12627";"Berlin";1985;"fernwaerme";2009;7562,03;541170;85,88;"Berlin, Stadt";"MFH"
"12687";"Berlin";1981;"fernwaerme";2007;10758;1047172,8;116,81;"Berlin, Stadt";"MFH"
"12205";"Berlin";1911;"heizoel";2013;420;50400;144;"Berlin, Stadt";"MFH"
"13086";"Berlin";1900;"erdgas";2008;480,34;68590;171,36;"Berlin, Stadt";"MFH"
"12355";"Berlin";1976;"heizoel";2005;3996;737299,99;221,41;"Berlin, Stadt";"MFH"
"10317";"Berlin";1954;"erdgas";2003;1824;121971,1;80,24;"Berlin, Stadt";"MFH"
"12157";"Berlin";1930;"fernwaerme";2010;19140,43;2386680;149,63;"Berlin, Stadt";"MFH"
"10435";"Berlin";1998;"fernwaerme";2005;2870,4;241000;100,75;"Berlin, Stadt";"MFH"
"12587";"Berlin";1900;"erdgas";2006;655,2;81000;148,35;"Berlin, Stadt";"MFH"
"10553";"Berlin";1950;"fernwaerme";2009;8707,2;986000;135,89;"Berlin, Stadt";"MFH"
"13347";"Berlin";1990;"erdgas";2008;5564,4;186615;40,24;"Berlin, Stadt";"MFH"
"12347";"Berlin";1929;"heizoel";2012;2154;337851,36;188,22;"Berlin, Stadt";"MFH"
"10629";"Berlin";1910;"heizoel";2011;2710,8;505320,48;223,69;"Berlin, Stadt";"MFH"
"10247";"Berlin";1930;"heizoel";2006;1677,6;203061,6;145,25;"Berlin, Stadt";"MFH"
"10247";"Berlin";1920;"erdgas";2009;898,52;74440;99,41;"Berlin, Stadt";"MFH"
"13053";"Berlin";1930;"heizoel";2007;432;60480;168;"Berlin, Stadt";"MFH"
"12305";"Berlin";1961;"erdgas";2010;322,8;60308,1;224,19;"Berlin, Stadt";"MFH"
"14195";"Berlin";1991;"heizoel";2003;807,6;151441,92;225,03;"Berlin, Stadt";"MFH"
"12161";"Berlin";1981;"heizoel";2003;1920;328510,02;205,32;"Berlin, Stadt";"MFH"
"10999";"Berlin";1900;"erdgas";2003;1440;226800;189;"Berlin, Stadt";"MFH"
"12249";"Berlin";1956;"erdgas";2009;1477,15;134051,4;108,9;"Berlin, Stadt";"MFH"
"12349";"Berlin";1995;"erdgas";2005;2564,56;327249;153,12;"Berlin, Stadt";"MFH"
"10711";"Berlin";1960;"heizoel";2003;1800;50000,03;33,33;"Berlin, Stadt";"MFH"
"10437";"Berlin";1902;"erdgas";2013;4759,2;413694;104,31;"Berlin, Stadt";"MFH"
"12307";"Berlin";1926;"heizoel";2013;300;14112;56,45;"Berlin, Stadt";"MFH"
"12619";"Berlin";1991;"fernwaerme";2003;9949,2;826940;99,74;"Berlin, Stadt";"MFH"
"12107";"Berlin";1998;"erdgas";2007;711,6;49481,1;83,44;"Berlin, Stadt";"MFH"
"10115";"Berlin";1960;"heizoel";2003;360;99999,95;333,33;"Berlin, Stadt";"MFH"
"13088";"Berlin";1975;"erdgas";2008;600;90000;180;"Berlin, Stadt";"MFH"
"12157";"Berlin";1912;"heizoel";2005;2529,6;341742,24;162,12;"Berlin, Stadt";"MFH"
"13409";"Berlin";1969;"heizoel";2009;2760;252000;109,57;"Berlin, Stadt";"MFH"
"14169";"Berlin";1973;"fernwaerme";2010;10200;1950000;229,41;"Berlin, Stadt";"MFH"
"12045";"Berlin";1927;"fernwaerme";2008;2312,4;270000;140,11;"Berlin, Stadt";"MFH"
"12207";"Berlin";1962;"heizoel";2007;1200;157248;157,25;"Berlin, Stadt";"MFH"
"10717";"Berlin";1960;"heizoel";2005;3606;620000,04;206,32;"Berlin, Stadt";"MFH"
"12107";"Berlin";1960;"heizoel";2007;2352;362880;185,14;"Berlin, Stadt";"MFH"
"12163";"Berlin";1968;"fernwaerme";2006;975,6;167274;205,75;"Berlin, Stadt";"MFH"
"14195";"Berlin";1954;"fernwaerme";2012;2024,4;206462;122,38;"Berlin, Stadt";"MFH"
"10119";"Berlin";1990;"fernwaerme";2008;2409,6;92000;45,81;"Berlin, Stadt";"MFH"
"13589";"Berlin";1900;"heizoel";2014;540;40320;89,6;"Berlin, Stadt";"MFH"
"10319";"Berlin";1964;"fernwaerme";2008;3546,24;252902;85,58;"Berlin, Stadt";"MFH"
"13505";"Berlin";1973;"heizoel";2002;576;20999,97;43,75;"Berlin, Stadt";"MFH"
"13583";"Berlin";1961;"fernwaerme";2016;7201,55;1127200;187,83;"Berlin, Stadt";"MFH"
"10247";"Berlin";1920;"erdgas";2008;898,52;80560;107,59;"Berlin, Stadt";"MFH"
"10717";"Berlin";1960;"heizoel";2004;3606;620000,04;206,32;"Berlin, Stadt";"MFH"
"10783";"Berlin";1990;"erdgas";2008;1965,91;265703,4;162,18;"Berlin, Stadt";"MFH"
"13409";"Berlin";1983;"heizoel";2003;681,38;109449,95;192,75;"Berlin, Stadt";"MFH"
"13409";"Berlin";1904;"erdgas";2006;1642,8;214500;156,68;"Berlin, Stadt";"MFH"
"10367";"Berlin";1930;"fernwaerme";2004;6798;473000;83,5;"Berlin, Stadt";"MFH"
"13597";"Berlin";1868;"heizoel";2006;906;161280;213,62;"Berlin, Stadt";"MFH"
"10551";"Berlin";1956;"erdgas";2007;697,2;112230;193,16;"Berlin, Stadt";"MFH"
"10245";"Berlin";1900;"fernwaerme";2009;1814,4;223242;147,64;"Berlin, Stadt";"MFH"
"12587";"Berlin";1930;"fernwaerme";2005;4480,08;295630;79,19;"Berlin, Stadt";"MFH"
"13403";"Berlin";2003;"erdgas";2004;480;54000;135;"Berlin, Stadt";"MFH"
"14163";"Berlin";1929;"erdgas";2005;948;72000;91,14;"Berlin, Stadt";"MFH"
"12555";"Berlin";1930;"erdgas";2010;5986,8;901800;180,76;"Berlin, Stadt";"MFH"
"10437";"Berlin";1918;"erdgas";2003;2559,6;228373,2;107,07;"Berlin, Stadt";"MFH"
"12163";"Berlin";1876;"heizoel";2011;909,6;208031,04;274,45;"Berlin, Stadt";"MFH"
"10119";"Berlin";1920;"erdgas";2009;3349,67;234801;84,12;"Berlin, Stadt";"MFH"
"12169";"Berlin";1950;"fernwaerme";2007;8542,8;802362;112,7;"Berlin, Stadt";"MFH"
"10823";"Berlin";1910;"heizoel";2005;2670,89;454679,97;204,28;"Berlin, Stadt";"MFH"
"14052";"Berlin";1928;"erdgas";2006;2400;317097;158,55;"Berlin, Stadt";"MFH"
"13156";"Berlin";1920;"waermepumpe";2012;1080;250000;277,78;"Berlin, Stadt";"MFH"
"13088";"Berlin";1996;"fernwaerme";2009;687,6;105489;184,1;"Berlin, Stadt";"MFH"
"12309";"Berlin";1977;"heizoel";2008;314,4;36792;140,43;"Berlin, Stadt";"MFH"
"14163";"Berlin";1970;"fernwaerme";2009;2167,92;228560;126,51;"Berlin, Stadt";"MFH"
"10117";"Berlin";1870;"erdgas";2009;1800;153000;102;"Berlin, Stadt";"MFH"
"12203";"Berlin";1899;"heizoel";2011;453,6;99630,72;263,57;"Berlin, Stadt";"MFH"
"12683";"Berlin";1996;"erdgas";2006;712,69;61460;103,48;"Berlin, Stadt";"MFH"
"12107";"Berlin";1988;"heizoel";2013;541,2;70922,88;157,26;"Berlin, Stadt";"MFH"
"12277";"Berlin";1995;"erdgas";2011;3004,8;373140;149,02;"Berlin, Stadt";"MFH"
"10717";"Berlin";1920;"heizoel";2004;2190;472770,04;259,05;"Berlin, Stadt";"MFH"
"12527";"Berlin";1995;"erdgas";2007;1245,6;116109;111,86;"Berlin, Stadt";"MFH"
"10555";"Berlin";1993;"fernwaerme";2009;814,74;47769;70,35;"Berlin, Stadt";"MFH"
"12623";"Berlin";1996;"erdgas";2006;624;6300;12,12;"Berlin, Stadt";"MFH"
"12169";"Berlin";1959;"heizoel";2011;1146;56488,32;59,15;"Berlin, Stadt";"MFH"
"12047";"Berlin";1910;"heizoel";2011;2654,4;493920;223,29;"Berlin, Stadt";"MFH"
"10825";"Berlin";1906;"fernwaerme";2011;2392,8;221154;110,91;"Berlin, Stadt";"MFH"
"14059";"Berlin";1906;"fernwaerme";2015;2869,2;205117;85,79;"Berlin, Stadt";"MFH"
"12107";"Berlin";1992;"fernwaerme";2004;528;64000;145,45;"Berlin, Stadt";"MFH"
"14129";"Berlin";1974;"heizoel";2006;446,4;42336;113,81;"Berlin, Stadt";"MFH"
"13349";"Berlin";1950;"heizoel";2009;1731,6;152671,68;105,8;"Berlin, Stadt";"MFH"
"12307";"Berlin";1991;"heizoel";2009;732;63967,68;104,87;"Berlin, Stadt";"MFH"
"12101";"Berlin";1954;"heizoel";2008;5461,2;538685,28;118,37;"Berlin, Stadt";"MFH"
"13403";"Berlin";1967;"heizoel";2012;13269,6;2637472,32;238,51;"Berlin, Stadt";"MFH"
"10315";"Berlin";1929;"fernwaerme";2008;6130,8;649143;127,06;"Berlin, Stadt";"MFH"
"10409";"Berlin";1930;"erdgas";2008;1384,8;119411,1;103,47;"Berlin, Stadt";"MFH"
"12167";"Berlin";1970;"heizoel";2002;1201,2;220000,03;219,78;"Berlin, Stadt";"MFH"
"10409";"Berlin";1920;"fernwaerme";2011;6470,4;694327;128,77;"Berlin, Stadt";"MFH"
"10557";"Berlin";1959;"fernwaerme";2010;2899,2;300584;124,41;"Berlin, Stadt";"MFH"
"10117";"Berlin";1977;"fernwaerme";2009;5400;740000;164,44;"Berlin, Stadt";"MFH"
"14167";"Berlin";1982;"heizoel";2009;5870,33;959555,52;196,15;"Berlin, Stadt";"MFH"
"10719";"Berlin";1954;"fernwaerme";2002;2559,6;336000;157,52;"Berlin, Stadt";"MFH"
"14163";"Berlin";1979;"erdgas";2007;468;71430;183,15;"Berlin, Stadt";"MFH"
"12589";"Berlin";1900;"erdgas";2004;398,4;45360;136,63;"Berlin, Stadt";"MFH"
"13086";"Berlin";1998;"erdgas";2005;922,86;140390;182,55;"Berlin, Stadt";"MFH"
"10997";"Berlin";1963;"fernwaerme";2008;1557,6;193425;149,02;"Berlin, Stadt";"MFH"
"12249";"Berlin";1966;"heizoel";2007;345,6;49392;171,5;"Berlin, Stadt";"MFH"
"13189";"Berlin";1900;"erdgas";2008;2446,8;225000;110,35;"Berlin, Stadt";"MFH"
"14199";"Berlin";1937;"heizoel";2004;3105,6;562957,92;217,52;"Berlin, Stadt";"MFH"
"12351";"Berlin";1964;"fernwaerme";2006;1685,05;189590;135,02;"Berlin, Stadt";"MFH"
"12043";"Berlin";1907;"fernwaerme";2002;1920;150000;93,75;"Berlin, Stadt";"MFH"
"10625";"Berlin";1910;"heizoel";2008;3673,04;456603,84;149,18;"Berlin, Stadt";"MFH"
"10245";"Berlin";1996;"erdgas";2012;3433,2;356182,2;124,5;"Berlin, Stadt";"MFH"
"10827";"Berlin";1910;"erdgas";2009;1852,67;232014,6;150,28;"Berlin, Stadt";"MFH"
"10629";"Berlin";1906;"heizoel";2003;2058;386961,12;225,63;"Berlin, Stadt";"MFH"
"13158";"Berlin";1998;"erdgas";2004;4660,8;279841,5;72,05;"Berlin, Stadt";"MFH"
"14169";"Berlin";1953;"fernwaerme";2008;8640;1e+06;138,89;"Berlin, Stadt";"MFH"
"14163";"Berlin";1979;"erdgas";2006;468;63000;161,54;"Berlin, Stadt";"MFH"
"12277";"Berlin";1975;"fernwaerme";2009;8472;867000;122,8;"Berlin, Stadt";"MFH"
"12557";"Berlin";1980;"fernwaerme";2008;3252;279000;102,95;"Berlin, Stadt";"MFH"
"12349";"Berlin";1995;"heizoel";2009;462,6;75186,72;195,04;"Berlin, Stadt";"MFH"
"10317";"Berlin";1905;"erdgas";2013;960;90000;112,5;"Berlin, Stadt";"MFH"
"12209";"Berlin";1978;"heizoel";2006;840;103370,4;147,67;"Berlin, Stadt";"MFH"
"12103";"Berlin";1930;"heizoel";2007;6954;856800;147,85;"Berlin, Stadt";"MFH"
"10435";"Berlin";1970;"erdgas";2002;1201,2;297500,85;297,2;"Berlin, Stadt";"MFH"
"13187";"Berlin";1900;"erdgas";2008;2071,2;145579,5;84,34;"Berlin, Stadt";"MFH"
"13158";"Berlin";1999;"erdgas";2004;1411,52;177064,7;150,53;"Berlin, Stadt";"MFH"
"14169";"Berlin";1975;"heizoel";2007;312;36288;139,57;"Berlin, Stadt";"MFH"
"10629";"Berlin";1922;"fernwaerme";2003;1201,2;249727;249,48;"Berlin, Stadt";"MFH"
"14059";"Berlin";1902;"fernwaerme";2009;336;16800;60;"Berlin, Stadt";"MFH"
"13403";"Berlin";1998;"erdgas";2006;1624,8;209700;154,87;"Berlin, Stadt";"MFH"
"12351";"Berlin";1953;"heizoel";2011;337,2;81355,68;289,52;"Berlin, Stadt";"MFH"
"13587";"Berlin";1918;"fernwaerme";2008;1432,24;162600;136,23;"Berlin, Stadt";"MFH"
"13465";"Berlin";1965;"heizoel";2009;4509,6;384602,4;102,34;"Berlin, Stadt";"MFH"
"10551";"Berlin";1897;"heizoel";2006;2298;230217,12;120,22;"Berlin, Stadt";"MFH"
"13597";"Berlin";1920;"heizoel";2012;12392,74;1778101,92;172,18;"Berlin, Stadt";"MFH"
"12621";"Berlin";1999;"erdgas";2009;430,8;49000;136,49;"Berlin, Stadt";"MFH"
"12169";"Berlin";1910;"erdgas";2013;1191,6;109190,7;109,96;"Berlin, Stadt";"MFH"
"13595";"Berlin";1967;"heizoel";2007;3283,2;441252;161,28;"Berlin, Stadt";"MFH"
"12109";"Berlin";1994;"fernwaerme";2010;8104,8;813090;120,39;"Berlin, Stadt";"MFH"
"12355";"Berlin";1980;"heizoel";2009;309,6;63907,2;247,7;"Berlin, Stadt";"MFH"
"14052";"Berlin";1918;"heizoel";2009;2326,8;343042,56;176,92;"Berlin, Stadt";"MFH"
"13088";"Berlin";1960;"fernwaerme";2008;3150;217185,2;82,74;"Berlin, Stadt";"MFH"
"12107";"Berlin";1993;"erdgas";2009;932,52;116290;149,65;"Berlin, Stadt";"MFH"
