"sto_plz";"bundesland";"gebaeude_baujahr";"energietraeger";"abrechnungsjahr";"gebaeude_nutzflaeche";"verbrauch_gesamt_kwh";"verbrauch_gesamt_kwh_spez";"Landkreis_von_GS";"gtype"
"12555";"Berlin";1936;"erdgas";2003;126;25808,4;245,79;"Berlin, Stadt";"SFH"
"10965";"Berlin";1912;"erdgas";2003;66;7276,5;132,3;"Berlin, Stadt";"SFH"
"12623";"Berlin";1999;"erdgas";2004;180;22500;150;"Berlin, Stadt";"SFH"
"13503";"Berlin";1997;"heizoel";2004;192;22000;137,5;"Berlin, Stadt";"SFH"
"12105";"Berlin";1973;"erdgas";2004;99,6;9450;113,86;"Berlin, Stadt";"SFH"
"12679";"Berlin";2000;"erdgas";2003;180;16443;109,62;"Berlin, Stadt";"SFH"
"13507";"Berlin";1935;"heizoel";2004;300;31999,97;128;"Berlin, Stadt";"SFH"
"12207";"Berlin";1986;"heizoel";2004;180;20999,97;140;"Berlin, Stadt";"SFH"
"13591";"Berlin";1917;"erdgas";2002;90;28350;378;"Berlin, Stadt";"SFH"
"12347";"Berlin";1928;"erdgas";2004;105,6;14649,3;166,47;"Berlin, Stadt";"SFH"
"12277";"Berlin";1983;"heizoel";2004;180;28000,02;186,67;"Berlin, Stadt";"SFH"
"12305";"Berlin";1968;"heizoel";2004;150;36000,01;288;"Berlin, Stadt";"SFH"
"13467";"Berlin";1983;"heizoel";2004;168;25000,01;178,57;"Berlin, Stadt";"SFH"
"12347";"Berlin";1928;"erdgas";2003;105,6;13814,1;156,98;"Berlin, Stadt";"SFH"
"12623";"Berlin";1936;"erdgas";2004;156;31744,8;244,19;"Berlin, Stadt";"SFH"
"14163";"Berlin";1934;"heizoel";2004;168;23999,98;171,43;"Berlin, Stadt";"SFH"
"12349";"Berlin";1980;"erdgas";2002;192;17000;106,25;"Berlin, Stadt";"SFH"
"13467";"Berlin";1969;"heizoel";2004;176,4;20512,8;139,54;"Berlin, Stadt";"SFH"
"13505";"Berlin";1985;"heizoel";2004;192;24192;151,2;"Berlin, Stadt";"SFH"
"14129";"Berlin";1936;"erdgas";2002;264;41003,5;186,38;"Berlin, Stadt";"SFH"
"12487";"Berlin";2003;"erdgas";2004;216;20487,6;113,82;"Berlin, Stadt";"SFH"
"13503";"Berlin";1988;"heizoel";2004;204;30000;176,47;"Berlin, Stadt";"SFH"
"14089";"Berlin";1973;"heizoel";2003;132;22000;200;"Berlin, Stadt";"SFH"
"12103";"Berlin";1956;"heizoel";2004;180;30000;200;"Berlin, Stadt";"SFH"
"12209";"Berlin";1979;"heizoel";2004;162;29500,03;218,52;"Berlin, Stadt";"SFH"
"12353";"Berlin";1989;"heizoel";2003;127,2;21800,02;205,66;"Berlin, Stadt";"SFH"
"12305";"Berlin";1964;"erdgas";2003;144;21000;175;"Berlin, Stadt";"SFH"
"13503";"Berlin";1986;"erdgas";2004;91,2;13179,6;173,42;"Berlin, Stadt";"SFH"
"13129";"Berlin";2000;"heizoel";2003;240;18999,99;95;"Berlin, Stadt";"SFH"
"12555";"Berlin";1936;"erdgas";2004;126;24772,5;235,93;"Berlin, Stadt";"SFH"
"14165";"Berlin";1978;"heizoel";2003;115,2;23999,98;250;"Berlin, Stadt";"SFH"
"13127";"Berlin";2000;"erdgas";2004;148,8;9000;72,58;"Berlin, Stadt";"SFH"
"12621";"Berlin";2000;"heizoel";2004;180;24110,05;160,73;"Berlin, Stadt";"SFH"
"14163";"Berlin";1968;"erdgas";2004;144;27000;225;"Berlin, Stadt";"SFH"
"12683";"Berlin";1930;"erdgas";2004;96;19809;247,61;"Berlin, Stadt";"SFH"
"13465";"Berlin";1935;"heizoel";2004;168;22749,96;162,5;"Berlin, Stadt";"SFH"
"12247";"Berlin";1961;"erdgas";2003;312;56700;218,08;"Berlin, Stadt";"SFH"
"13437";"Berlin";1945;"heizoel";2004;192;30000;187,5;"Berlin, Stadt";"SFH"
"14195";"Berlin";1965;"erdgas";2002;78;12750;196,15;"Berlin, Stadt";"SFH"
"13587";"Berlin";1988;"erdgas";2004;156;13050;100,38;"Berlin, Stadt";"SFH"
"13158";"Berlin";1932;"erdgas";2004;120;26281,8;262,82;"Berlin, Stadt";"SFH"
"12107";"Berlin";1950;"heizoel";2004;288;39443,04;164,35;"Berlin, Stadt";"SFH"
"10318";"Berlin";1999;"erdgas";2004;115,2;12870;134,06;"Berlin, Stadt";"SFH"
"12683";"Berlin";2004;"erdgas";2004;176,4;18000;122,45;"Berlin, Stadt";"SFH"
"13467";"Berlin";1939;"heizoel";2003;144;34999,98;291,67;"Berlin, Stadt";"SFH"
"12683";"Berlin";1935;"erdgas";2004;148,8;30870;248,95;"Berlin, Stadt";"SFH"
"13505";"Berlin";2000;"erdgas";2004;120;36855;368,55;"Berlin, Stadt";"SFH"
"13469";"Berlin";1988;"heizoel";2002;144;25000,01;208,33;"Berlin, Stadt";"SFH"
"13125";"Berlin";1928;"erdgas";2002;186;26078,4;168,25;"Berlin, Stadt";"SFH"
"12683";"Berlin";1940;"heizoel";2004;92,7;24099,97;311,97;"Berlin, Stadt";"SFH"
"12205";"Berlin";1976;"heizoel";2003;180;42000,03;280;"Berlin, Stadt";"SFH"
"12247";"Berlin";1928;"heizoel";2004;312;87410,03;336,19;"Berlin, Stadt";"SFH"
"12355";"Berlin";1970;"heizoel";2003;168;26000,05;185,71;"Berlin, Stadt";"SFH"
"14089";"Berlin";1982;"heizoel";2004;216;42000,03;233,33;"Berlin, Stadt";"SFH"
"12437";"Berlin";1990;"erdgas";2004;133,2;28022,4;252,45;"Berlin, Stadt";"SFH"
"10178";"Berlin";1905;"erdgas";2003;72;5182,2;86,37;"Berlin, Stadt";"SFH"
"13595";"Berlin";1936;"heizoel";2004;138;18999,99;165,22;"Berlin, Stadt";"SFH"
"14089";"Berlin";1973;"heizoel";2004;132;22000;200;"Berlin, Stadt";"SFH"
"13503";"Berlin";1978;"heizoel";2004;168;25000,01;178,57;"Berlin, Stadt";"SFH"
"13509";"Berlin";1937;"heizoel";2004;144;17999,96;150;"Berlin, Stadt";"SFH"
"13465";"Berlin";1971;"heizoel";2004;264;45000,04;204,55;"Berlin, Stadt";"SFH"
"13469";"Berlin";1925;"heizoel";2003;162;31999,97;237,04;"Berlin, Stadt";"SFH"
"12209";"Berlin";1969;"heizoel";2003;180;26379,96;175,87;"Berlin, Stadt";"SFH"
"13593";"Berlin";1968;"heizoel";2004;234;50000,03;256,41;"Berlin, Stadt";"SFH"
"13437";"Berlin";1988;"erdgas";2004;152,4;18360;144,57;"Berlin, Stadt";"SFH"
"13437";"Berlin";1923;"erdgas";2004;156;19989;153,76;"Berlin, Stadt";"SFH"
"12205";"Berlin";1976;"heizoel";2002;180;41000;273,33;"Berlin, Stadt";"SFH"
"14169";"Berlin";1934;"heizoel";2003;144;23999,98;200;"Berlin, Stadt";"SFH"
"13465";"Berlin";1930;"erdgas";2004;126;23058;219,6;"Berlin, Stadt";"SFH"
"14195";"Berlin";1921;"heizoel";2004;276;37500,02;163,04;"Berlin, Stadt";"SFH"
"13469";"Berlin";1979;"heizoel";2003;156;17000,02;130,77;"Berlin, Stadt";"SFH"
"12249";"Berlin";1934;"erdgas";2004;144;29790;248,25;"Berlin, Stadt";"SFH"
"12555";"Berlin";1938;"erdgas";2003;192;34200;213,75;"Berlin, Stadt";"SFH"
"13505";"Berlin";1981;"heizoel";2004;264;45000,04;204,55;"Berlin, Stadt";"SFH"
"12305";"Berlin";1982;"erdgas";2004;192;22019,4;137,62;"Berlin, Stadt";"SFH"
"12347";"Berlin";1985;"erdgas";2002;144;6800;56,67;"Berlin, Stadt";"SFH"
