"abrechnungsjahr";"baujahr";"nutzflaeche";"SV"
2002;1959,00534759358;201,043885918004;191,454901960784
2003;1961,04137180185;176,879831246598;189,23181273816
2004;1961,37728585178;179,068119987167;184,860230991338
2005;1962,43797735054;176,057184619436;180,707221490651
2006;1962,7078178468;175,81075019742;172,551768886549
2007;1963,15222806532;177,66890395793;165,683384998616
2008;1964,69037235827;176,955521637035;167,14694733311
2009;1964,57103257103;177,348620928621;168,279948024948
2010;1965,67710229341;181,862945030943;172,685631598107
2011;1966,22222222222;178,618588374852;164,419869513642
2012;1966,59478089611;177,683618906942;167,701619891679
2013;1968,02503128911;179,280331664581;159,904205256571
2014;1965,87933634992;178,275799396682;149,476644042232
2015;1967,32383419689;215,212245250432;145,729550949914
2016;1967,58162162162;188,122854054054;146,865740540541
2017;1967,83963494133;188,179921773142;142,885984354628
2018;1978,76923076923;164,769230769231;117,328461538462
