"Jahr";"Erdgas";"Wärme";"Flüssiggas";"Heizöl";"Holzpellets";"Strom";"Gesamt"
2002;53,9537627585872;10,4500961328542;0,0412562103939651;35,9744583225523;0;0;100
2003;53,0335869583957;11,9136443540281;0,0799014278476004;35,2193272135161;0;0;100
2004;52,1124945893123;13,3786858157772;0,118536931291765;34,4637657924803;0,0766815024033057;0;100
2005;51,19043770975;14,8452986227842;0,157162212630407;33,7077515517641;0,156897722153337;0;100
2006;50,2673649753152;16,3135664234612;0,195776727703749;32,9512603861321;0,23711595254907;0,0349155348386679;100
2007;49,3432213314483;17,7835789106864;0,23437989303082;32,1942664484956;0,317336302558099;0,127217113780856;100
2008;48,4179476721351;19,2554323778201;0,272971082192364;31,4367419896832;0,39755888916684;0,219347989002353;100
2009;47,4914804602402;20,7292303372436;0,311549621807119;30,6786571801952;0,477783838132153;0,311298562381728;100
2010;46,5637513043282;22,2050842097866;0,350114787046804;29,9199799115279;0,558011284818734;0,40305850249173;100
2011;45,6346864860472;23,6831140946967;0,388665796627243;29,16067557429;0,638241375134764;0,494616673204013;100
2012;44,7042064311943;25,1634496313599;0,4272018072026;28,4007068098777;0,718474266578623;0,585961053786896;100
2013;43,7722251164833;26,6462309657733;0,465721907078151;27,6400332319624;0,798710129413217;0,677078649289641;100
2014;42,8386494027006;28,1316098369433;0,504225109142937;26,8786111134204;0,878949147985644;0,767955389807007;100
2015;41,903378283374;29,6197508009268;0,542710342906963;26,1163930335972;0,959191522214505;0,858576016980653;100
2016;40,9663020361901;31,1108326133107;0,58117644550773;25,3533274799127;1,03943746926927;0,948923955809551;100
2017;40,0273012621552;32,6050497945763;0,619622151527035;24,5893583967666;1,1196872254722;1,03898116950266;100
2018;39,0862457947819;34,1026144072127;0,65804608143029;23,8244246734207;1,19994104845718;1,1287279946972;100
