Date;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
31.12.2002; 166.023 ; 173.461 ; 110.884 ; 40.560 ; 15.077 ; 42.934 ; 92.857 ; 30.619 ; 100.171 ; 314.148 ; 45.779 ; 10.581 ; 96.117 ; 45.004 ; 38.109 ; 37.448 
31.12.03; 167.431 ; 175.410 ; 110.736 ; 40.184 ; 14.964 ; 43.140 ; 93.687 ; 30.489 ; 100.348 ; 316.158 ; 46.437 ; 10.638 ; 95.629 ; 44.681 ; 38.191 ; 37.256 
31.12.04; 168.890 ; 177.421 ; 110.646 ; 39.854 ; 14.860 ; 43.371 ; 94.537 ; 30.376 ; 100.572 ; 318.220 ; 47.111 ; 10.694 ; 95.213 ; 44.395 ; 38.288 ; 37.099 
31.12.05; 170.399 ; 179.492 ; 110.615 ; 39.571 ; 14.764 ; 43.629 ; 95.404 ; 30.279 ; 100.845 ; 320.335 ; 47.800 ; 10.751 ; 94.871 ; 44.147 ; 38.399 ; 36.978 
31.12.06; 171.959 ; 181.625 ; 110.643 ; 39.335 ; 14.675 ; 43.914 ; 96.291 ; 30.199 ; 101.165 ; 322.502 ; 48.506 ; 10.809 ; 94.603 ; 43.937 ; 38.526 ; 36.892 
31.12.2007; 173.569 ; 183.819 ; 110.729 ; 39.146 ; 14.595 ; 44.225 ; 97.196 ; 30.136 ; 101.533 ; 324.723 ; 49.227 ; 10.866 ; 94.407 ; 43.763 ; 38.668 ; 36.841 
31.12.2008; 175.230 ; 186.074 ; 110.874 ; 39.003 ; 14.522 ; 44.562 ; 98.119 ; 30.089 ; 101.949 ; 326.996 ; 49.964 ; 10.924 ; 94.285 ; 43.628 ; 38.826 ; 36.826 
31.12.2009; 176.941 ; 188.390 ; 111.077 ; 38.908 ; 14.458 ; 44.926 ; 99.061 ; 30.060 ; 102.413 ; 329.322 ; 50.717 ; 10.982 ; 94.237 ; 43.530 ; 38.998 ; 36.847 
31.12.2010; 178.703 ; 190.767 ; 111.339 ; 38.859 ; 14.402 ; 45.316 ; 100.022 ; 30.047 ; 102.925 ; 331.701 ; 51.486 ; 11.041 ; 94.261 ; 43.469 ; 39.186 ; 36.903 
31.12.2011; 180.516 ; 193.205 ; 111.660 ; 38.857 ; 14.354 ; 45.732 ; 101.001 ; 30.050 ; 103.485 ; 334.132 ; 52.271 ; 11.099 ; 94.359 ; 43.446 ; 39.389 ; 36.994 
31.12.2012; 182.379 ; 195.705 ; 112.039 ; 38.902 ; 14.313 ; 46.175 ; 101.999 ; 30.071 ; 104.092 ; 336.616 ; 53.071 ; 11.158 ; 94.530 ; 43.461 ; 39.606 ; 37.121 
31.12.2013; 184.292 ; 198.265 ; 112.477 ; 38.994 ; 14.281 ; 46.644 ; 103.016 ; 30.108 ; 104.748 ; 339.153 ; 53.888 ; 11.218 ; 94.775 ; 43.513 ; 39.840 ; 37.283 
31.12.2014; 186.256 ; 200.887 ; 112.973 ; 39.133 ; 14.257 ; 47.140 ; 104.051 ; 30.162 ; 105.452 ; 341.743 ; 54.720 ; 11.277 ; 95.093 ; 43.602 ; 40.088 ; 37.481 
31.12.2015; 188.270 ; 203.569 ; 113.528 ; 39.318 ; 14.241 ; 47.662 ; 105.105 ; 30.232 ; 106.203 ; 344.385 ; 55.568 ; 11.337 ; 95.484 ; 43.730 ; 40.351 ; 37.715 
31.12.2016; 190.335 ; 206.313 ; 114.142 ; 39.550 ; 14.232 ; 48.211 ; 106.177 ; 30.320 ; 107.002 ; 347.080 ; 56.432 ; 11.397 ; 95.949 ; 43.894 ; 40.630 ; 37.983 
31.12.2017; 192.451 ; 209.118 ; 114.814 ; 39.830 ; 14.232 ; 48.785 ; 107.268 ; 30.424 ; 107.850 ; 349.828 ; 57.312 ; 11.458 ; 96.486 ; 44.096 ; 40.923 ; 38.288 
31.12.2018; 194.617 ; 211.984 ; 115.545 ; 40.156 ; 14.240 ; 49.387 ; 108.378 ; 30.545 ; 108.745 ; 352.629 ; 58.208 ; 11.519 ; 97.098 ; 44.336 ; 41.232 ; 38.627 
