Gemeindeschluessel;Landkreis
1001000;Flensburg, Stadt
1002000;Kiel, Stadt
1003000;Lübeck, Stadt
1004000;Neumünster, Stadt
1051000;Dithmarschen
1053000;Herzogtum Lauenburg
1054000;Nordfriesland
1055000;Ostholstein
1056000;Pinneberg
1057000;Plön
1058000;Rendsburg-Eckernförde
1059000;Schleswig-Flensburg
1060000;Segeberg
1061000;Steinburg
1062000;Stormarn
2000000;Hamburg, Stadt
3101000;Braunschweig, Stadt
3102000;Salzgitter, Stadt
3103000;Wolfsburg, Stadt
3151000;Gifhorn
3152000;Göttingen
3153000;Goslar
3154000;Helmstedt
3155000;Northeim
3156000;Osterode am Harz
3157000;Peine
3158000;Wolfenbüttel
3241000;Region Hannover
3251000;Diepholz
3252000;Hameln-Pyrmont
3254000;Hildesheim
3255000;Holzminden
3256000;Nienburg (Weser)
3257000;Schaumburg
3351000;Celle
3352000;Cuxhaven
3353000;Harburg
3354000;Lüchow-Dannenberg
3355000;Lüneburg
3356000;Osterholz
3357000;Rotenburg (Wümme)
3358000;Heidekreis
3359000;Stade
3360000;Uelzen
3361000;Verden
3401000;Delmenhorst, Stadt
3402000;Emden, Stadt
3403000;Oldenburg (Oldenburg), Stadt
3404000;Osnabrück, Stadt
3405000;Wilhelmshaven, Stadt
3451000;Ammerland
3452000;Aurich
3453000;Cloppenburg
3454000;Emsland
3455000;Friesland
3456000;Grafschaft Bentheim
3457000;Leer
3458000;Oldenburg
3459000;Osnabrück
3460000;Vechta
3461000;Wesermarsch
3462000;Wittmund
4011000;Bremen, Stadt
4012000;Bremerhaven, Stadt
5111000;Düsseldorf, Stadt
5112000;Duisburg, Stadt
5113000;Essen, Stadt
5114000;Krefeld, Stadt
5116000;Mönchengladbach, Stadt
5117000;Mülheim an der Ruhr, Stadt
5119000;Oberhausen, Stadt
5120000;Remscheid, Stadt
5122000;Solingen, Stadt
5124000;Wuppertal, Stadt
5154000;Kleve
5158000;Mettmann
5162000;Rhein-Kreis Neuss
5166000;Viersen
5170000;Wesel
5314000;Bonn, Stadt
5315000;Köln, Stadt
5316000;Leverkusen, Stadt
5334000;Städteregion Aachen
5358000;Düren
5362000;Rhein-Erft-Kreis
5366000;Euskirchen
5370000;Heinsberg
5374000;Oberbergischer Kreis
5378000;Rheinisch-Bergischer Kreis
5382000;Rhein-Sieg-Kreis
5512000;Bottrop, Stadt
5513000;Gelsenkirchen, Stadt
5515000;Münster, Stadt
5554000;Borken
5558000;Coesfeld
5562000;Recklinghausen
5566000;Steinfurt
5570000;Warendorf
5711000;Bielefeld, Stadt
5754000;Gütersloh
5758000;Herford
5762000;Höxter
5766000;Lippe
5770000;Minden-Lübbecke
5774000;Paderborn
5911000;Bochum, Stadt
5913000;Dortmund, Stadt
5914000;Hagen, Stadt
5915000;Hamm, Stadt
5916000;Herne, Stadt
5954000;Ennepe-Ruhr-Kreis
5958000;Hochsauerlandkreis
5962000;Märkischer Kreis
5966000;Olpe
5970000;Siegen-Wittgenstein
5974000;Soest
5978000;Unna
6411000;Darmstadt, Stadt
6412000;Frankfurt am Main, Stadt
6413000;Offenbach am Main, Stadt
6414000;Wiesbaden, Stadt
6431000;Bergstraße
6432000;Darmstadt-Dieburg
6433000;Groß-Gerau
6434000;Hochtaunuskreis
6435000;Main-Kinzig-Kreis
6436000;Main-Taunus-Kreis
6437000;Odenwaldkreis
6438000;Offenbach
6439000;Rheingau-Taunus-Kreis
6440000;Wetteraukreis
6531000;Gießen
6532000;Lahn-Dill-Kreis
6533000;Limburg-Weilburg
6534000;Marburg-Biedenkopf
6535000;Vogelsbergkreis
6611000;Kassel, Stadt
6631000;Fulda
6632000;Hersfeld-Rotenburg
6633000;Kassel
6634000;Schwalm-Eder-Kreis
6635000;Waldeck-Frankenberg
6636000;Werra-Meißner-Kreis
7111000;Koblenz, Stadt
7131000;Ahrweiler
7132000;Altenkirchen (Westerwald)
7133000;Bad Kreuznach
7134000;Birkenfeld
7135000;Cochem-Zell
7137000;Mayen-Koblenz
7138000;Neuwied
7140000;Rhein-Hunsrück-Kreis
7141000;Rhein-Lahn-Kreis
7143000;Westerwaldkreis
7211000;Trier, Stadt
7231000;Bernkastel-Wittlich
7232000;Eifelkreis Bitburg-Prüm
7233000;Vulkaneifel
7235000;Trier-Saarburg
7311000;Frankenthal (Pfalz), Stadt
7312000;Kaiserslautern, Stadt
7313000;Landau in der Pfalz, Stadt
7314000;Ludwigshafen am Rhein, Stadt
7315000;Mainz, kreisfreie Stadt
7316000;Neustadt an der Weinstraße, Stadt
7317000;Pirmasens, Stadt
7318000;Speyer, Stadt
7319000;Worms, Stadt
7320000;Zweibrücken, Stadt
7331000;Alzey-Worms
7332000;Bad Dürkheim
7333000;Donnersbergkreis
7334000;Germersheim
7335000;Kaiserslautern
7336000;Kusel
7337000;Südliche Weinstraße
7338000;Rhein-Pfalz-Kreis
7339000;Mainz-Bingen
7340000;Südwestpfalz
8111000;Stuttgart
8115000;Böblingen
8116000;Esslingen
8117000;Göppingen
8118000;Ludwigsburg
8119000;Rems-Murr-Kreis
8121000;Heilbronn
8125000;Heilbronn
8126000;Hohenlohekreis
8127000;Schwäbisch Hall
8128000;Main-Tauber-Kreis
8135000;Heidenheim
8136000;Ostalbkreis
8211000;Baden-Baden
8212000;Karlsruhe
8215000;Karlsruhe
8216000;Rastatt
8221000;Heidelberg
8222000;Mannheim
8225000;Neckar-Odenwald-Kreis
8226000;Rhein-Neckar-Kreis
8231000;Pforzheim
8235000;Calw
8236000;Enzkreis
8237000;Freudenstadt
8311000;Freiburg im Breisgau
8315000;Breisgau-Hochschwarzwald
8316000;Emmendingen
8317000;Ortenaukreis
8325000;Rottweil
8326000;Schwarzwald-Baar-Kreis
8327000;Tuttlingen
8335000;Konstanz
8336000;Lörrach
8337000;Waldshut
8415000;Reutlingen
8416000;Tübingen
8417000;Zollernalbkreis
8421000;Ulm
