"abrechnungsjahr";"areaSFH";"areaMFH"
2002;848969,607142849;2031559,1428571
2003;854373,999999993;2057500,49999996
2004;859778,392857134;2083441,85714282
2005;865182,785714278;2109383,21428568
2006;870587,178571422;2135324,57142854
2007;875991,571428565;2161265,9285714
2008;881395,964285709;2187207,28571426
2009;886800,357142853;2213148,64285712
2010;887630;2243485
2011;898179;2257703
2012;904107;2281981
2013;911432;2322345
2014;917353;2348887
2015;920933;2379116
2016;921707;2392445
2017;927620;2413116
2018;935439,892857142;2446620,85714286
