"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom";"abrechnungsjahr"
187079324,363584;0;0;163581611,394866;0;0;2002
119888987,377934;0;0;195936287,576422;0;0;2003
129428915,224274;0;0;200532555,410863;0;0;2004
127055920,842797;0;0;196828091,638698;0;0;2005
143066982,311961;0;501286,911577468;177086592,57808;0;0;2006
148609267,644302;0;1448713,17982571;165987370,752856;0;0;2007
112475176,943517;18042355,9619686;0;185920977,070112;0;0;2008
104236907,326551;4459082,43868177;0;209732839,37814;0;0;2009
121653465,907084;0;0;183813945,209342;7807252,1750485;0;2010
111272027,270848;0;0;185820024,848596;1467473,00052681;0;2011
70267818,0429277;0;0;226906698,749218;7373500,03178261;0;2012
103142042,441761;10916723,5774274;0;206058926,798069;4812139,56634874;3308717,17405988;2013
78628990,5493888;0;0;230192037,729349;7384819,11991888;0;2014
125111023,767013;0;0;163737990,70801;18714932,2976113;1274209,8112489;2015
162548651,477921;0;0;125085267,344736;25050777,4432317;10431830,0500314;2016
195476329,379182;0;5948061,18998685;58180649,1463963;26218732,9249867;7574876,50573327;2017
135267918,737408;32677836,9080875;0;144673174,882146;0;0;2018
