abrechnungsjahr;fernwaerme;erdgas;fluessiggas;heizoel;holzpellets;strom
2002;256,9;201;235;310;40;625
2003;250,6;201;235;310;40;616
2004;244,3;201;235;310;40;607
2005;238;201;235;310;40;598
2006;231,7;201;235;310;40;588
2007;225,4;201;235;310;40;579
2008;219,1;201;235;310;40;570
2009;212,9;201;235;310;40;560
2010;206,6;201;235;310;40;551
2011;200,3;201;235;310;40;542
2012;194;201;235;310;40;532
2013;187,7;201;235;310;40;523
2014;181,4;201;235;310;40;514
2015;175,1;201;235;310;40;505
2016;168,9;201;235;310;40;495
2017;162,6;201;235;310;40;486
2018;156,3;201;235;310;40;477
2019;150;201;235;310;40;467
