abrechnungsjahr;mfh_area;mfh_count;sfh_area;sfh_count
2002;15969,6;27;4844,4;31
2003;36691,04;56;16261,61;100
2004;134750;202;32131,18;185
2005;206449,15;318;43150,62;233
2006;228580,72;356;56927,25;306
2007;163357,12;249;49434,75;265
2008;68400,97;112;37643,5;207
2009;60978,88;93;26892,3;148
2010;54663,58;92;28493,7;156
2011;47112,37;77;28674,75;161
2012;56579,9;84;22704,15;127
2013;42060,81;64;19933,05;107
2014;56563,54;76;22584,15;125
2015;61443,26;89;17192,87;96
2016;59433,92;84;17833,6;93
2017;36282,81;80;16087,3;93
2018;6559,86;18;726,75;5
Total;1335877,53;2077;441515,93;2438
