"sto_plz";"bundesland";"gebaeude_baujahr";"energietraeger";"abrechnungsjahr";"gebaeude_nutzflaeche";"verbrauch_gesamt_kwh";"verbrauch_gesamt_kwh_spez";"Landkreis_von_GS";"gtype"
68309;"Baden-Württemberg";1996;"waerme";2011;3747,6;329436;105,49;"Mannheim";"MFH"
68169;"Baden-Württemberg";1969;"waerme";2007;1864,9;169520;109,08;"Mannheim";"MFH"
68259;"Baden-Württemberg";1983;"erdgas";2007;4964,36;685310;165,65;"Mannheim";"MFH"
68199;"Baden-Württemberg";1986;"waerme";2005;337,43;40890;145,42;"Mannheim";"MFH"
68229;"Baden-Württemberg";1986;"erdgas";2005;301,19;40060;159,61;"Mannheim";"MFH"
68163;"Baden-Württemberg";1960;"waerme";2015;489,6;20944;51,33;"Mannheim";"MFH"
68259;"Baden-Württemberg";1960;"heizoel";2012;819,6;77616;113,64;"Mannheim";"MFH"
68239;"Baden-Württemberg";1982;"waerme";2006;355,64;41940;141,51;"Mannheim";"MFH"
68309;"Baden-Württemberg";1969;"waerme";2005;4297,34;369370;103,14;"Mannheim";"MFH"
68199;"Baden-Württemberg";1960;"waerme";2015;649,2;59670;110,3;"Mannheim";"MFH"
68161;"Baden-Württemberg";1930;"waerme";2011;3117,6;234000;90,07;"Mannheim";"MFH"
68163;"Baden-Württemberg";1937;"heizoel";2010;330;39412,8;143,32;"Mannheim";"MFH"
68219;"Baden-Württemberg";1986;"erdgas";2008;344,23;36312,3;126,59;"Mannheim";"MFH"
68165;"Baden-Württemberg";1928;"waerme";2004;348;56000;193,1;"Mannheim";"MFH"
68259;"Baden-Württemberg";1969;"heizoel";2011;396;39816;120,65;"Mannheim";"MFH"
68163;"Baden-Württemberg";1966;"heizoel";2011;396;43344;131,35;"Mannheim";"MFH"
68309;"Baden-Württemberg";1982;"erdgas";2009;498,4;80787,6;194,52;"Mannheim";"MFH"
68167;"Baden-Württemberg";1984;"waerme";2006;312;27000;103,85;"Mannheim";"MFH"
68169;"Baden-Württemberg";1920;"erdgas";2009;864;187200;260;"Mannheim";"MFH"
68259;"Baden-Württemberg";1999;"erdgas";2006;895,2;67179,6;90,06;"Mannheim";"MFH"
68239;"Baden-Württemberg";1983;"waerme";2008;504,86;51920;123,41;"Mannheim";"MFH"
68163;"Baden-Württemberg";1937;"heizoel";2011;330;35572,32;129,35;"Mannheim";"MFH"
68307;"Baden-Württemberg";1959;"erdgas";2006;591,01;67567,5;137,19;"Mannheim";"MFH"
68259;"Baden-Württemberg";1974;"heizoel";2005;1731,6;236940,48;164,2;"Mannheim";"MFH"
68259;"Baden-Württemberg";1960;"heizoel";2005;360;34999,98;116,67;"Mannheim";"MFH"
68165;"Baden-Württemberg";1908;"erdgas";2014;662,4;58500;105,98;"Mannheim";"MFH"
68305;"Baden-Württemberg";1960;"erdgas";2004;336;9000;32,14;"Mannheim";"MFH"
68219;"Baden-Württemberg";1991;"erdgas";2006;576,6;92240;191,96;"Mannheim";"MFH"
68163;"Baden-Württemberg";1987;"heizoel";2008;312;48384;186,09;"Mannheim";"MFH"
68163;"Baden-Württemberg";1937;"heizoel";2011;330;35562,24;129,32;"Mannheim";"MFH"
68199;"Baden-Württemberg";1993;"waerme";2006;351;35970;122,97;"Mannheim";"MFH"
68259;"Baden-Württemberg";2002;"erdgas";2004;936;84229,8;107,99;"Mannheim";"MFH"
68309;"Baden-Württemberg";2008;"waerme";2014;4935,6;203840;49,56;"Mannheim";"MFH"
68307;"Baden-Württemberg";1972;"heizoel";2007;420;48384;138,24;"Mannheim";"MFH"
68309;"Baden-Württemberg";1978;"erdgas";2007;5900,82;436788;88,82;"Mannheim";"MFH"
68165;"Baden-Württemberg";1985;"waerme";2005;854,92;120310;168,87;"Mannheim";"MFH"
68259;"Baden-Württemberg";1990;"erdgas";2008;1800;226643,4;151,1;"Mannheim";"MFH"
68259;"Baden-Württemberg";1969;"heizoel";2009;460,8;57456;149,63;"Mannheim";"MFH"
68239;"Baden-Württemberg";1959;"heizoel";2004;348;34999,98;120,69;"Mannheim";"MFH"
68229;"Baden-Württemberg";1973;"heizoel";2005;303,6;61689,6;243,83;"Mannheim";"MFH"
68259;"Baden-Württemberg";1965;"erdgas";2003;408;50003,1;147,07;"Mannheim";"MFH"
68199;"Baden-Württemberg";1994;"waerme";2004;806,08;58790;87,52;"Mannheim";"MFH"
68239;"Baden-Württemberg";1900;"heizoel";2006;324;49523,04;183,42;"Mannheim";"MFH"
68307;"Baden-Württemberg";1959;"erdgas";2005;591,01;63704,7;129,35;"Mannheim";"MFH"
68163;"Baden-Württemberg";1968;"waerme";2009;6930,24;637000;110,3;"Mannheim";"MFH"
68163;"Baden-Württemberg";1960;"waerme";2011;697,2;37800;65,06;"Mannheim";"MFH"
68219;"Baden-Württemberg";1979;"erdgas";2006;407,15;38505,6;113,49;"Mannheim";"MFH"
68199;"Baden-Württemberg";1993;"waerme";2007;351;27510;94,05;"Mannheim";"MFH"
68219;"Baden-Württemberg";1976;"erdgas";2003;370,8;40620;131,46;"Mannheim";"MFH"
68259;"Baden-Württemberg";1920;"heizoel";2008;362,4;48384;160,21;"Mannheim";"MFH"
68163;"Baden-Württemberg";2000;"waerme";2004;2083,2;114000;65,67;"Mannheim";"MFH"
68165;"Baden-Württemberg";1964;"waerme";2005;548,4;34520;75,54;"Mannheim";"MFH"
68163;"Baden-Württemberg";1955;"waerme";2005;740,16;63985;103,74;"Mannheim";"MFH"
68163;"Baden-Württemberg";1960;"waerme";2010;15840;1616000;122,42;"Mannheim";"MFH"
68165;"Baden-Württemberg";1920;"waerme";2014;1091,22;99840;109,79;"Mannheim";"MFH"
68169;"Baden-Württemberg";1895;"waerme";2015;1287,6;90440;84,29;"Mannheim";"MFH"
68163;"Baden-Württemberg";1862;"heizoel";2011;384;40320;126;"Mannheim";"MFH"
68259;"Baden-Württemberg";1964;"heizoel";2004;819,6;99999,95;146,42;"Mannheim";"MFH"
68167;"Baden-Württemberg";1984;"waerme";2012;1594,6;144720;108,91;"Mannheim";"MFH"
68239;"Baden-Württemberg";1963;"erdgas";2007;372;50000;161,29;"Mannheim";"MFH"
68159;"Baden-Württemberg";1963;"waerme";2007;696,6;69160;119,14;"Mannheim";"MFH"
68259;"Baden-Württemberg";1987;"erdgas";2007;323,6;21227,4;78,72;"Mannheim";"MFH"
68305;"Baden-Württemberg";1900;"waerme";2006;360;50000;166,67;"Mannheim";"MFH"
68199;"Baden-Württemberg";1995;"waerme";2004;5455,87;312830;68,81;"Mannheim";"MFH"
68219;"Baden-Württemberg";1969;"erdgas";2007;960;108000;135;"Mannheim";"MFH"
68163;"Baden-Württemberg";1937;"heizoel";2005;330;39312;142,95;"Mannheim";"MFH"
68199;"Baden-Württemberg";1979;"erdgas";2005;1130,77;167390;177,64;"Mannheim";"MFH"
68307;"Baden-Württemberg";1960;"heizoel";2014;338,4;50400;178,72;"Mannheim";"MFH"
68165;"Baden-Württemberg";1949;"waerme";2007;408;55000;161,76;"Mannheim";"MFH"
68163;"Baden-Württemberg";1912;"waerme";2006;1440;140000;116,67;"Mannheim";"MFH"
68159;"Baden-Württemberg";1960;"waerme";2008;2595,6;79000;36,52;"Mannheim";"MFH"
68219;"Baden-Württemberg";1993;"erdgas";2005;2704,63;255330;113,28;"Mannheim";"MFH"
68165;"Baden-Württemberg";1925;"heizoel";2009;1594,8;191388,96;144,01;"Mannheim";"MFH"
68165;"Baden-Württemberg";1983;"waerme";2005;877,2;88000;120,38;"Mannheim";"MFH"
