"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom";"total"
2002;27232939978,8503;178004058187,712;0;69706843163,9202;0;0;274943841330,483
2003;32777882329,2661;192093157158,355;0;50355618789,8691;0;0;275226658277,49
2004;44609407404,4486;168621153009,146;0;37065672072,4042;0;0;250296232485,999
2005;68364131987,223;161969240534,333;0;26120550576,0058;0;0;256453923097,562
2006;65912604436,5837;156130825219,122;0;22926851139,8871;0;0;244970280795,593
2007;73210791982,6399;119458724089,291;0;20271252907,6634;0;0;212940768979,594
2008;60091037173,8022;128250733741,61;0;40011457513,0464;0;0;228353228428,459
2009;40177828396,9713;140981185430,661;0;72850885698,3848;0;0;254009899526,017
2010;44310057237,4414;136106411469,245;1782062728,95529;42995618164,1962;0;0;225194149599,838
2011;42181655599,7635;140335009798,005;1986441659,98859;32060381897,0672;0;0;216563488954,824
2012;51833797097,6075;141551581298,732;0;21653167691,4327;0;0;215038546087,772
2013;54310325635,7347;133789767640,29;0;31388688745,0557;0;0;219488782021,081
2014;22113435953,1722;166832971950,424;0;9362235652,14055;0;0;198308643555,737
2015;23463672026,3351;160498834191,534;0;7990711484,31303;0;166555321,393946;192119773023,576
2016;21887051261,8143;183111899913,422;0;4159250330,57911;0;166680708,029666;209324882213,845
2017;17530296156,0288;166302780891,263;0;3459042455,73493;0;1673985176,175;188966104679,201
2018;10235274281,7998;158055631158,513;0;25431764567,7572;0;16706961692,812;210429631700,882
