Jahr;FM;SDK;NM;TMK
2002; 2,90   ; 3,74   ; 5,53   ; 6,73   
2003; 2,80   ; 4,69   ; 4,95   ; 5,17   
2004; 2,84   ; 3,70   ; 5,84   ; 6,32   
2005; 2,69   ; 4,00   ; 5,47   ; 5,71   
2006; 2,71   ; 3,93   ; 5,56   ; 5,93   
2007; 3,10   ; 3,98   ; 5,51   ; 6,73   
2008; 2,79   ; 3,73   ; 5,76   ; 6,33   
2009; 2,43   ; 3,75   ; 5,66   ; 5,91   
2010; 2,51   ; 3,28   ; 6,21   ; 5,43   
2011; 2,31   ; 4,38   ; 5,34   ; 6,55   
2012; 2,43   ; 3,91   ; 5,61   ; 6,12   
2013; 2,45   ; 2,88   ; 6,29   ; 5,93   
2014; 2,14   ; 3,88   ; 5,76   ; 8,25   
2015; 2,57   ; 4,05   ; 5,40   ; 7,17   
2016; 2,50   ; 3,33   ; 5,77   ; 6,10   
2017; 2,57   ; 4,02   ; 5,62   ; 6,59   
