STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        183;20171130;   10;   9.0;   4.3;    3;   3.1;   6;    0.000;   0;   7.9;   6.8;  999.00;    2.6;   91.79;    3.9;    1.7;   -1.2;eor
        183;20171201;   10;  11.8;   3.7;    3;   0.0;   6;    0.250;   0;   7.5;   6.6; 1008.28;    3.7;   82.83;    4.6;    2.6;    1.0;eor
        183;20171202;   10;  12.3;   6.5;    3;   0.0;   8;    3.250;   0;   6.4;   5.7; 1017.73;    2.2;   80.29;    4.8;   -1.0;   -1.7;eor
        183;20171203;   10;  16.7;  10.3;    3;   0.7;   8;    0.000;   0;   7.4;   6.5; 1010.70;    2.1;   90.92;    6.3;   -0.5;   -0.6;eor
        183;20171204;   10;  14.8;   7.7;    3;   0.2;   6;    4.617;   0;   5.2;   7.0; 1012.51;    4.9;   80.71;    5.8;    4.1;    2.3;eor
        183;20171205;   10;  20.9;  12.1;    3;   0.1;   6;    0.017;   0;   7.9;   9.0; 1014.73;    6.8;   90.50;    7.8;    4.4;    3.0;eor
        183;20171206;   10;  23.1;  15.0;    3;   2.7;   6;    0.000;   0;   7.7;   9.3; 1011.85;    7.2;   91.00;    8.0;    6.6;    6.3;eor
        183;20171207;   10;  18.7;  12.4;    3;   1.4;   6;    0.000;   0;   7.9;   7.6; 1002.17;    5.9;   82.00;    7.6;    4.1;    3.8;eor
        183;20171208;   10;  18.2;  10.2;    3;   0.0;   6;    0.083;   0;   7.5;   7.4;  992.85;    4.3;   88.21;    5.9;    2.5;    1.9;eor
        183;20171209;   10;  18.8;  11.4;    3;   3.6;   8;    0.333;   0;   6.9;   6.3;  993.73;    2.7;   85.58;    4.9;    0.8;    0.5;eor
        183;20171210;   10;  17.0;   9.9;    3;   0.0;   8;    0.167;   0;   7.7;   5.3;  986.68;    0.7;   82.17;    1.4;   -0.3;   -0.9;eor
        183;20171211;   10;  13.1;   5.6;    3;   5.1;   8;    0.000;   0;   7.9;   6.4;  979.77;    2.1;   88.92;    4.7;    0.5;    0.2;eor
        183;20171212;   10;  18.2;   8.0;    3;   2.0;   8;    0.000;   0;   7.6;   6.9;  988.56;    3.3;   89.13;    4.4;    1.2;    0.6;eor
        183;20171213;   10;  19.8;  12.1;    3;   1.3;   8;    5.000;   0;   7.0;   5.9;  996.86;    1.8;   85.33;    3.2;    0.5;   -0.5;eor
        183;20171214;   10;  20.0;  10.9;    3;   3.9;   8;    0.000;   0;   7.7;   6.8;  979.56;    2.7;   92.42;    4.4;    0.6;    0.2;eor
        183;20171215;   10;  12.7;   7.4;    3;   2.2;   6;    0.350;   0;   7.6;   6.8;  988.50;    2.6;   92.46;    3.6;    1.6;    0.8;eor
        183;20171216;   10;  11.8;   6.2;    3;   0.3;   8;    3.467;   0;   6.3;   6.0;  997.35;    3.0;   78.58;    4.4;    2.2;   -0.3;eor
        183;20171217;   10;  10.8;   3.7;    3;   0.0;   6;    1.483;-999;   7.5;   5.7; 1011.27;    1.6;   83.50;    2.8;    0.3;   -1.3;eor
        183;20171218;   10;   9.8;   6.0;    3;   0.0;   6;    3.367;-999;   6.4;   5.4; 1019.30;    0.8;   84.21;    1.9;   -0.1;   -1.2;eor
        183;20171219;   10;   9.2;   3.8;    3;   0.0;   6;    0.000;-999;   7.9;   6.9; 1023.15;    3.5;   87.83;    4.9;    0.9;    0.6;eor
        183;20171220;   10;  13.9;   5.4;    3;   3.4;   6;    0.083;   0;   8.0;   7.4; 1025.00;    3.5;   93.38;    6.0;    2.0;    1.1;eor
        183;20171221;   10;  15.8;   8.7;    3;   0.0;   6;    2.083;   0;   7.4;   8.8; 1021.07;    5.8;   94.83;    6.5;    5.3;    4.3;eor
        183;20171222;   10;  16.0;   9.6;    3;   0.3;   6;    2.467;   0;   7.3;   8.2; 1021.75;    5.5;   90.96;    6.0;    5.1;    3.8;eor
        183;20171223;   10;  29.2;  17.2;    3;   0.0;   6;    0.000;   0;   8.0;   9.3; 1011.02;    6.5;   96.33;    8.0;    4.9;    4.7;eor
        183;20171224;   10;  29.1;  17.7;    3;   0.6;   6;    0.000;   0;   7.8;  10.0; 1004.96;    7.3;   97.17;    8.0;    6.8;    6.6;eor
        183;20171225;   10;  24.0;  13.0;    3;   0.0;   6;    0.017;   0;   7.8;   9.5; 1003.68;    7.5;   90.83;    8.5;    6.5;    6.2;eor
        183;20171226;   10;  18.5;  10.4;    3;   0.0;   6;    2.200;   0;   5.6;   7.2;  992.50;    5.1;   81.63;    6.9;    3.6;    2.3;eor
        183;20171227;   10;  12.7;   7.6;    3;   0.0;   6;    0.000;   0;   7.6;   6.7;  985.59;    3.6;   84.38;    4.9;    2.1;    0.8;eor
        183;20171228;   10;  12.5;   6.6;    3;   0.4;   6;    0.000;   0;   8.0;   6.9;  985.37;    3.0;   90.33;    4.9;    1.0;   -0.2;eor
        183;20171229;   10;  15.6;   8.6;    3;   0.6;   8;    0.000;   0;   5.8;   6.5;  995.57;    2.9;   86.79;    4.1;    0.5;   -0.7;eor
        183;20171230;   10;  15.5;   9.3;    3;   2.6;   8;    0.000;   0;   7.5;   6.1;  992.57;    1.7;   87.67;    3.9;    0.6;   -0.1;eor
        183;20171231;   10;  15.2;   6.8;    3;   9.1;   6;    0.000;   0;   7.6;   8.5;  992.41;    5.2;   94.46;    9.8;    2.6;    2.0;eor
        183;20180101;   10;  20.9;   9.6;    3;   0.3;   6;    1.867;   0;   6.0;   8.2;  990.27;    6.0;   87.33;    7.7;    3.5;    2.0;eor
        183;20180102;   10;  10.4;   6.7;    3;   0.1;   6;    0.000;   0;   6.9;   7.5;  998.33;    3.6;   94.50;    5.3;    1.8;    0.6;eor
        183;20180103;   10;  21.0;   8.9;    3;   9.0;   8;    0.283;   0;   7.8;   7.6;  980.59;    3.9;   94.17;    5.4;    2.2;    1.8;eor
        183;20180104;   10;  16.5;   8.0;    3;   8.0;   6;    0.483;   0;   7.8;   7.5;  982.79;    4.4;   89.71;    5.1;    2.7;    2.3;eor
        183;20180105;   10;  18.9;   8.2;    3;   3.6;   6;    0.000;   0;   7.8;   7.8;  985.87;    4.6;   91.75;    5.5;    3.3;    2.4;eor
        183;20180106;   10;  12.5;   3.8;    3;   2.5;   6;    0.000;   0;   7.8;   7.1; 1002.17;    3.2;   92.67;    4.8;    0.2;   -1.1;eor
        183;20180107;   10;  12.1;   4.2;    3;   0.0;   0;    6.367;   0;   1.9;   4.5; 1025.32;    0.4;   71.38;    2.8;   -2.6;   -5.6;eor
        183;20180108;   10;  11.6;   3.5;    3;   0.0;   0;    7.100;   0;   2.8;   5.6; 1030.47;    1.2;   84.42;    4.6;   -3.1;   -5.8;eor
        183;20180109;   10;  20.5;   7.3;    3;   3.4;   6;    2.217;   0;   4.4;   6.0; 1019.17;    3.4;   76.88;    4.9;    0.9;   -0.3;eor
        183;20180110;   10;  14.1;   6.0;    3;   1.2;   6;    0.000;   0;   7.9;   7.0; 1009.12;    3.2;   91.08;    4.2;    2.2;    1.9;eor
        183;20180111;   10;  11.6;   3.8;    3;   1.3;   6;    0.000;   0;   7.9;   7.2; 1013.81;    3.1;   94.17;    4.0;    1.7;    1.7;eor
        183;20180112;   10;  16.3;   4.9;    3;   0.0;   6;    0.000;   0;   7.7;   6.3; 1025.60;    2.3;   86.71;    3.7;    0.6;    0.6;eor
        183;20180113;   10;  15.0;   7.8;    3;   0.0;   0;    0.000;   0;   7.8;   4.9; 1029.37;    0.3;   78.75;    0.9;   -0.9;   -0.9;eor
        183;20180114;   10;  13.5;   7.3;    3;   0.0;   0;    0.000;   0;   7.9;   4.0; 1025.72;   -1.3;   72.54;    0.1;   -2.7;   -3.1;eor
        183;20180115;   10;  19.7;  10.0;    3;   0.6;   8;    3.667;   0;   5.4;   4.7; 1007.64;   -0.5;   79.21;    1.5;   -2.3;   -3.0;eor
        183;20180116;   10;  21.8;   9.4;    3;   3.4;   8;    0.383;   0;   7.8;   6.6;  982.43;    1.8;   94.13;    3.1;    0.0;    0.0;eor
        183;20180117;   10;  13.9;   8.1;    3;   6.4;   8;    0.717;   1;   7.2;   6.2;  985.40;    1.3;   92.75;    2.7;    0.0;   -0.6;eor
        183;20180118;   10;  19.3;   7.9;    3;   2.7;   8;    0.000;   0;   7.5;   6.5;  986.88;    1.8;   93.04;    2.4;    0.7;    0.2;eor
        183;20180119;   10;   9.5;   5.0;    3;  12.5;   8;    0.167;   0;   7.4;   6.3;  997.61;    1.5;   92.54;    2.6;    0.2;    0.0;eor
        183;20180120;   10;  10.1;   5.5;    3;   0.0;   0;    0.000;   0;   7.8;   6.2;  999.68;    1.3;   92.75;    2.1;    0.7;    0.1;eor
        183;20180121;   10;  10.6;   2.9;    3;   2.5;   7;    0.633;   0;   7.3;   5.9; 1007.87;    0.9;   90.63;    3.6;   -2.0;   -6.5;eor
        183;20180122;   10;  13.8;   7.6;    3;   0.0;   7;    0.067;   0;   7.9;   5.1; 1008.13;   -0.4;   86.13;    0.7;   -1.7;   -1.9;eor
        183;20180123;   10;  14.9;   6.6;    3;   0.9;   6;    0.567;   0;   7.8;   5.7; 1013.63;    0.4;   89.46;    3.8;   -1.4;   -1.6;eor
        183;20180124;   10;  19.0;  11.4;    3;   1.5;   6;    0.483;   0;   7.8;   9.9; 1004.62;    7.9;   93.04;   10.2;    3.6;    3.3;eor
        183;20180125;   10;  14.3;   7.4;    3;   0.0;   0;    0.000;   0;   7.8;   8.7; 1005.23;    6.3;   90.88;    8.4;    3.8;    2.0;eor
        183;20180126;   10;   7.8;   3.4;    3;   0.0;   6;    0.000;   0;   8.0;   8.1; 1012.47;    4.1;   99.38;    5.8;    1.8;    0.9;eor
        183;20180127;   10;  17.2;   6.9;    3;   2.9;   8;    0.000;   0;   7.5;   7.5; 1020.63;    4.1;   92.04;    5.1;    0.8;   -0.3;eor
        183;20180128;   10;  21.5;  14.5;    3;   1.1;   6;    0.550;   0;   7.6;   8.2; 1011.13;    5.6;   90.50;    6.6;    4.2;    3.7;eor
        183;20180129;   10;  24.5;  15.1;    3;   0.3;   6;    0.000;   0;   7.4;   9.1; 1006.06;    6.5;   93.58;    8.3;    4.6;    3.7;eor
        183;20180130;   10;  24.6;  12.9;    3;   0.2;   6;    6.067;   0;   5.4;   7.1; 1012.50;    4.4;   84.63;    5.3;    2.9;    1.4;eor
        183;20180131;   10;  15.9;   8.8;    3;   4.2;   6;    0.000;   0;   7.5;   7.4;  998.24;    3.6;   92.58;    6.4;    1.7;    1.1;eor
        183;20180201;   10;  14.8;   8.8;    3;   0.0;   8;    1.833;   0;   6.0;   6.2;  990.88;    2.5;   85.42;    3.5;    1.1;    0.2;eor
        183;20180202;   10;  13.8;   6.0;    3;   0.5;   8;    0.000;   0;   7.2;   6.3;  995.51;    2.3;   86.79;    3.5;    1.0;    0.0;eor
        183;20180203;   10;   8.9;   2.7;    3;   0.5;   8;    0.000;   0;   7.8;   4.9;  999.50;   -0.9;   85.25;    2.5;   -2.2;   -2.5;eor
        183;20180204;   10;  21.6;  10.5;    3;   2.8;   8;    0.000;   0;   7.5;   5.7; 1014.89;    1.3;   84.67;    3.1;   -1.0;   -2.9;eor
        183;20180205;   10;  14.1;   7.3;    3;   0.1;   8;    1.833;   0;   7.4;   4.4; 1024.85;   -0.3;   73.88;    0.9;   -1.4;   -2.9;eor
        183;20180206;   10;   6.7;   1.7;    3;   1.8;   7;    0.000;   0;   7.5;   4.3; 1014.90;   -2.2;   82.25;   -1.1;   -3.4;   -7.3;eor
        183;20180207;   10;   5.4;   2.3;    3;   0.0;   0;    8.533;   2;   1.0;   3.5; 1013.55;   -2.9;   71.46;   -0.4;   -6.0;  -14.8;eor
        183;20180208;   10;   5.6;   3.0;    3;   0.0;   0;    5.733;   2;   3.6;   4.4; 1015.78;   -1.6;   80.38;    1.8;   -5.2;  -10.2;eor
        183;20180209;   10;   9.6;   5.1;    3;   0.0;   0;    8.150;   1;   0.7;   4.0; 1013.57;   -1.1;   70.88;    0.2;   -3.1;   -4.6;eor
        183;20180210;   10;   7.9;   4.1;    3;   0.0;   7;    0.000;   1;   6.5;   4.9; 1010.43;   -1.3;   87.96;   -0.2;   -2.4;   -3.6;eor
        183;20180211;   10;  14.9;   8.2;    3;   0.4;   8;    0.467;   1;   6.9;   5.9;  996.62;    0.7;   91.50;    1.7;   -0.5;   -0.9;eor
        183;20180212;   10;  20.8;  11.1;    3;   0.1;   8;    1.417;   0;   5.2;   6.0;  999.00;    1.3;   89.42;    2.6;   -0.2;   -1.2;eor
        183;20180213;   10;  11.9;   6.1;    3;   0.0;   7;    4.250;   0;   6.2;   5.7; 1009.35;    0.8;   88.58;    3.0;   -0.8;   -2.4;eor
        183;20180214;   10;  10.0;   4.3;    3;   0.0;   0;    8.267;   0;   4.3;   5.5; 1016.41;    0.2;   88.96;    3.7;   -1.8;   -3.3;eor
        183;20180215;   10;  16.6;   8.7;    3;   0.3;   8;    3.583;   0;   7.8;   5.0; 1013.70;   -0.9;   88.33;    0.4;   -2.6;   -2.6;eor
        183;20180216;   10;  18.4;  10.1;    3;   0.0;   8;    6.883;   0;   6.1;   6.8; 1012.47;    2.7;   91.63;    4.2;   -0.3;   -0.3;eor
        183;20180217;   10;  11.5;   3.5;    3;   0.0;   6;    0.833;   0;   7.8;   6.4; 1019.25;    2.7;   85.58;    3.7;    1.2;   -1.3;eor
        183;20180218;   10;   9.5;   3.6;    3;   0.0;   0;    0.000;   0;   8.0;   5.5; 1022.19;    1.9;   79.13;    3.5;    0.6;   -0.5;eor
        183;20180219;   10;   9.9;   5.1;    3;   0.0;   0;    4.500;   0;   8.0;   5.4; 1016.61;    1.6;   77.79;    3.2;    0.1;   -0.8;eor
        183;20180220;   10;  10.0;   4.2;    3;   0.1;   8;    6.150;   0;   4.1;   5.3; 1018.62;    1.7;   77.04;    3.5;    0.5;   -2.4;eor
        183;20180221;   10;   8.5;   2.6;    3;   1.1;   8;    0.867;   0;   7.0;   5.6; 1021.81;    0.7;   87.21;    2.0;   -0.8;   -3.9;eor
        183;20180222;   10;  12.2;   4.9;    3;   0.0;   8;    3.633;   0;   7.3;   5.2; 1022.33;    0.5;   81.96;    2.8;   -1.6;   -2.7;eor
        183;20180223;   10;  13.9;   3.9;    3;   0.0;   8;    9.250;   0;   6.6;   4.1; 1023.62;   -0.7;   70.63;    0.8;   -2.8;   -4.7;eor
        183;20180224;   10;  19.7;  11.3;    3;   0.5;   8;    3.750;   0;   6.3;   3.9; 1028.00;   -1.2;   69.42;    0.5;   -3.2;   -3.9;eor
        183;20180225;   10;  19.9;  11.5;    3;   1.3;   8;    1.733;   1;   7.4;   4.2; 1028.30;   -2.5;   81.71;   -1.0;   -3.8;   -4.2;eor
        183;20180226;   10;  22.9;   8.4;    3;   7.2;   8;    1.033;   2;   6.8;   3.9; 1025.47;   -3.6;   82.71;   -1.4;   -6.2;   -6.7;eor
        183;20180227;   10;-999;-999;    3;   2.1;   8;    3.433;  10;   7.5;   3.4; 1020.57;   -4.2;   75.75;   -2.2;   -7.1;   -3.9;eor
        183;20180228;   10;-999;-999;    3;   0.1;   8;    1.517;  13;   7.2;   3.1; 1025.27;   -5.3;   74.08;   -3.3;   -7.4;   -3.2;eor
        183;20180301;   10;-999;-999;    3;   3.7;   8;    0.000;   9;   7.7;   3.9; 1017.43;   -4.2;   86.54;   -3.1;   -5.7;   -2.9;eor
        183;20180302;   10;  18.2;   4.9;    3;   0.3;   8;    0.267;  15;   7.6;   3.2; 1005.67;   -5.4;   78.21;   -3.3;   -9.2;   -2.3;eor
        183;20180303;   10;  14.5;   3.1;    3;   0.1;   8;    4.483;  12;   7.0;   3.4; 1003.75;   -4.3;   76.38;   -1.8;   -7.0;   -2.1;eor
        183;20180304;   10;  15.0;   7.7;    3;   0.0;   0;    9.167;   9;   3.2;   3.6; 1001.70;   -2.6;   70.63;   -0.4;   -4.6;   -3.2;eor
        183;20180305;   10;  15.6;   7.5;    3;   0.3;   8;    0.917;   8;   6.8;   4.6;  994.26;   -0.3;   76.38;    2.3;   -2.4;   -2.1;eor
        183;20180306;   10;  12.8;   6.3;    3;   0.1;   6;    8.000;   7;   4.2;   5.8;  991.79;    1.6;   85.08;    3.0;    0.3;   -2.1;eor
        183;20180307;   10;  14.6;   7.4;    3;   6.5;   8;    0.000;   4;   7.5;   6.3;  989.53;    0.7;   98.50;    1.4;   -0.3;   -0.3;eor
        183;20180308;   10;  12.0;   5.2;    3;   4.6;   8;    0.000;   5;   7.4;   6.4;  993.31;    0.9;   98.08;    3.0;   -0.3;    0.0;eor
        183;20180309;   10;  15.2;   7.1;    3;   0.5;   8;    0.367;   1;   7.8;   6.6;  996.50;    1.6;   96.50;    2.5;    0.5;    0.0;eor
        183;20180310;   10;  15.6;   4.2;    3;   4.6;   8;    0.000;   0;   8.0;   6.4; 1001.51;    1.3;   95.50;    2.3;    0.5;   -0.2;eor
        183;20180311;   10;   9.9;   4.8;    3;   0.1;   6;    0.033;   0;   8.0;   7.3;  995.03;    2.5;   99.67;    8.2;    1.6;    1.5;eor
        183;20180312;   10;   7.1;   3.9;    3;   9.1;   6;    0.000;   0;   7.8;   7.6;  987.13;    3.6;   96.46;    8.3;    2.2;    2.3;eor
        183;20180313;   10;  11.0;   6.4;    3;   5.6;   8;    0.000;   0;   7.9;   7.6;  991.07;    3.1;   99.58;    5.2;    1.6;    1.6;eor
        183;20180314;   10;  12.6;   4.0;    3;   0.2;   6;    0.000;   0;   7.9;   6.7; 1005.93;    1.6;   96.71;    2.1;    1.0;    0.8;eor
        183;20180315;   10;  25.2;   8.8;    3;   0.0;   8;    0.300;   0;   7.1;   5.0; 1008.81;    0.7;   77.38;    1.5;   -0.2;   -1.0;eor
        183;20180316;   10;  29.8;  18.8;    3;   0.0;   8;    0.167;   0;   7.6;   4.0; 1010.49;   -1.2;   71.00;    0.1;   -3.8;   -3.6;eor
        183;20180317;   10;  29.1;  17.7;    3;   0.0;   8;    3.433;   1;   6.5;   3.5; 1015.65;   -2.5;   68.42;   -1.5;   -4.2;   -4.2;eor
        183;20180318;   10;  21.9;   8.4;    3;   0.0;   0;    9.217;   0;   3.3;   3.6; 1017.98;   -1.4;   65.42;    0.0;   -2.7;   -3.7;eor
        183;20180319;   10;   9.6;   3.7;    3;   0.2;   8;   10.917;   0;   2.7;   3.6; 1011.82;   -1.0;   64.04;    1.7;   -3.1;   -8.8;eor
        183;20180320;   10;  13.3;   5.9;    3;   0.0;   0;    9.900;   0;   2.7;   5.1; 1011.52;    0.9;   78.29;    3.6;   -2.5;   -4.2;eor
        183;20180321;   10;  14.5;   7.5;    3;   2.3;   8;    4.567;   0;   6.5;   5.9; 1017.07;    1.3;   87.58;    4.6;   -2.8;   -5.6;eor
        183;20180322;   10;  13.3;   5.6;    3;   0.6;   8;    0.000;   1;   7.9;   6.4; 1003.88;    1.0;   97.29;    2.4;    0.0;    0.0;eor
        183;20180323;   10;   6.1;   2.2;    3;   0.0;   0;    0.000;   0;   8.0;   5.6; 1002.62;    1.3;   83.96;    2.1;    0.9;    0.6;eor
        183;20180324;   10;   7.5;   4.0;    3;   0.0;   0;    5.767;   0;   7.7;   5.8; 1001.70;    1.9;   82.25;    4.7;    0.3;   -0.6;eor
        183;20180325;   10;   7.4;   3.7;    3;   0.0;   6;    2.650;   0;   7.9;   6.4; 1003.39;    4.2;   77.71;    9.2;    0.4;   -0.7;eor
        183;20180326;   10;   8.5;   3.9;    3;   0.0;   8;    0.000;   0;   8.0;   7.1; 1007.81;    2.8;   94.38;    4.3;    1.8;    1.9;eor
        183;20180327;   10;  16.2;   3.6;    3;   3.3;   8;    0.383;   0;   7.8;   6.7; 1009.66;    1.6;   97.17;    3.0;    0.3;    0.1;eor
        183;20180328;   10;  19.9;   7.7;    3;   1.0;   8;    6.500;   0;   6.6;   5.7; 1004.20;    0.8;   88.83;    2.7;   -0.7;   -0.6;eor
        183;20180329;   10;  24.5;   7.9;    3;   1.1;   8;    0.000;   1;   7.7;   6.3;  995.18;    0.5;   99.29;    1.3;   -0.2;   -0.2;eor
        183;20180330;   10;  13.6;   3.2;    3;   0.0;   0;    7.817;   0;   7.4;   5.7; 1004.12;    1.1;   85.83;    3.6;    0.0;   -0.8;eor
        183;20180331;   10;  23.0;  11.7;    3;   7.0;   8;    0.000;   0;   7.8;   5.7;  999.63;    1.1;   86.13;    1.8;    0.3;   -0.3;eor
        183;20180401;   10;  22.2;  10.1;    3;  14.7;   8;    0.000;   0;   7.8;   6.1;  996.56;    0.6;   96.25;    1.3;    0.0;    0.0;eor
        183;20180402;   10;  12.6;   7.2;    3;   2.2;   6;   12.200;  13;   3.5;   5.6; 1002.83;    1.3;   83.71;    2.4;    0.2;   -0.9;eor
        183;20180403;   10;  12.6;   5.2;    3;   0.9;   6;    0.083;   1;   8.0;   8.5;  997.98;    5.1;   95.17;    9.7;    1.6;    0.0;eor
