"abrechnungsjahr";"areaSFH";"areaMFH"
2002;15520161,5476189;8113163,45238084
2003;15649451,9999998;8164710,24999988
2004;15778742,4523808;8216257,04761894
2005;15908032,9047618;8267803,845238
2006;16037323,3571427;8319350,64285704
2007;16166613,8095237;8370897,4404761
2008;16295904,2619047;8422444,23809516
2009;16425194,7142856;8473991,03571421
2010;16550905;8541177
2011;16674694;8577520
2012;16817839;8622527
2013;16949665;8668017
2014;17073248;8722409
2015;17205982;8779322
2016;17341788;8837747
2017;17441893;8898894
2018;17588808,7857143;8937912,2142857
