"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom";"abrechnungsjahr"
525762814,778312;32213305,7522216;0;555226516,648854;0;0;2002
438849360,285576;5764017,09626477;0;787549562,072604;0;0;2003
682184439,740129;39316040,2121831;0;451416322,657951;0;0;2004
685562431,243532;74966666,0608367;545794,04952423;423748662,401105;0;0;2005
668283228,209775;72031392,027959;244269,227803903;427632294,540469;0;0;2006
552183983,866136;88211114,0891626;1883886,69813521;441595850,911089;0;0;2007
506481098,642217;72535367,4072733;0;553480545,807968;0;0;2008
462915715,001427;59667914,4621884;0;636542443,407532;0;0;2009
470086118,299769;108200259,322811;26588485,6808518;615836333,215862;0;0;2010
514491551,76703;38869452,0862447;15305276,5452414;576925985,38915;0;0;2011
450323105,998643;67131135,3290041;13273856,1934701;600580867,489673;15021972,5856443;0;2012
539070867,684928;56386477,2187951;1805709,53910061;521973019,32633;15940024,0488185;0;2013
438350234,226899;130441534,688928;7487552,97784707;423797212,162846;41372736,5749867;0;2014
598380055,836835;94627902,970547;11337260,8063651;314216544,192059;15715174,2462232;8350313,01932724;2015
621167371,894554;125339602,342403;0;315149902,168872;15648115,593526;8717633,93946557;2016
628305926,676304;72163312,9322555;0;403324272,621825;7075282,12062724;14665853,4515512;2017
583749431,027343;62830123,7148448;53725165,7754436;378339514,202653;18741336,8984106;10070844,7957299;2018
