"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom";"abrechnungsjahr"
588589560,890383;70897309,9759056;0;1981623342,99895;0;0;2002
648377637,003158;51799362,0269027;0;1914405007,80513;0;0;2003
692629886,540098;29057429,0758033;3267916,70774052;1860841527,26154;6141014,65096325;0;2004
794362957,816006;18757691,916451;13973850,8414603;1752537423,52539;5468450,27539169;1174678,81057772;2005
745761982,418338;21214075,7728073;37619517,9099728;1750905235,80055;4939844,49762163;0;2006
692193293,199226;13109086,7377831;37669344,2837709;1781383490,13548;0;2237880,32055481;2007
744441093,095603;38120923,3622249;24271447,2921151;1704304650,78266;1650075,46195042;2539136,1208493;2008
727058290,870015;25082919,6190944;31703565,4441038;1693310179,45467;6256624,06143508;20522734,4817455;2009
602476662,300592;13931911,4287503;37966669,9932147;1699132313,71662;21107599,2210502;130512417,792956;2010
496309710,515184;42072568,7620186;41927927,6955833;1606368606,60731;21601602,2438337;186130477,236362;2011
515317376,532841;65580895,3879312;27208090,2684607;1577791716,31242;37304980,704507;199674856,009907;2012
562933076,895364;75614360,4569482;16200087,4773738;1602653621,47631;29605120,4233855;179293804,832176;2013
518764098,358305;64361042,571188;31533493,1792277;1470604515,09884;42136404,9096734;162222524,975423;2014
603895150,438789;68990431,4830377;56721925,1583787;1445510794,30444;52391742,2662747;105156671,030862;2015
581888947,500059;74946483,0049307;62628586,905238;1532798860,65589;58612893,0728673;85849622,7002958;2016
468373975,346467;61629633,5708427;42408201,7287458;1452114409,15515;67758326,7055954;197143051,584707;2017
415410651,348313;69289544,9363948;31089951,8969819;1329397423,97436;34557555,7798008;403485154,803499;2018
