Region;Regionalschlüssel;Merkmal;Attribut;Einheit;2010;2011;2012;2013;2014;2015;2016;2017
Altlußheim;226003;Wohnfläche;Wohnfläche insgesamt;m²;261.070;265.376;272.172;277.889;280.544;282.286;288.703;298.345
Angelbachtal;226102;Wohnfläche;Wohnfläche insgesamt;m²;235.768;237.382;239.124;241.262;244.060;246.498;249.984;253.084
Bammental;226006;Wohnfläche;Wohnfläche insgesamt;m²;297.530;301.171;304.286;306.236;309.764;310.851;312.015;314.979
Brühl;226009;Wohnfläche;Wohnfläche insgesamt;m²;657.754;658.209;659.663;661.136;662.562;668.712;678.591;681.376
Dielheim;226010;Wohnfläche;Wohnfläche insgesamt;m²;433.286;435.315;437.673;442.061;445.945;450.188;452.905;455.738
Dossenheim;226012;Wohnfläche;Wohnfläche insgesamt;m²;554.538;559.752;562.305;567.447;571.785;574.774;576.992;578.511
Eberbach, Stadt;226013;Wohnfläche;Wohnfläche insgesamt;m²;697.901;699.251;701.399;703.929;706.580;707.635;710.386;716.805
Edingen-Neckarhausen;226105;Wohnfläche;Wohnfläche insgesamt;m²;640.829;643.898;644.790;646.504;647.488;650.085;653.349;654.498
Epfenbach;226017;Wohnfläche;Wohnfläche insgesamt;m²;123.006;123.337;123.635;124.386;125.678;126.176;126.209;126.323
Eppelheim, Stadt;226018;Wohnfläche;Wohnfläche insgesamt;m²;629.836;634.572;640.685;647.010;649.560;649.921;651.565;652.677
Eschelbronn;226020;Wohnfläche;Wohnfläche insgesamt;m²;121.320;121.517;121.929;122.587;122.621;123.070;123.913;125.063
Gaiberg;226022;Wohnfläche;Wohnfläche insgesamt;m²;130.617;130.731;130.964;130.993;131.497;131.615;131.955;132.821
Heddesbach;226027;Wohnfläche;Wohnfläche insgesamt;m²;25.526;25.724;25.724;25.889;25.889;25.889;25.889;25.889
Heddesheim;226028;Wohnfläche;Wohnfläche insgesamt;m²;529.518;531.861;533.963;535.467;536.631;540.876;552.176;555.995
Heiligkreuzsteinach;226029;Wohnfläche;Wohnfläche insgesamt;m²;149.754;150.058;150.058;150.442;150.586;150.731;151.091;151.562
Helmstadt-Bargen;226106;Wohnfläche;Wohnfläche insgesamt;m²;190.554;191.025;191.593;192.567;193.698;195.236;195.505;196.469
