"erdgas","waerme","fluessiggas","heizoel","holzpellets","strom","abrechnungsjahr"
759489.55149313,1528355.51720223,0,292719.931304644,0,0,2002
1226844.80782834,613052.785216992,0,749972.406954666,0,0,2003
1036405.46748495,399563.967407034,0,1181977.56510801,0,0,2004
1240203.94900183,938339.246686928,0,451776.804311243,0,0,2005
1114396.09133322,1126421.939112,0,392922.969554772,0,0,2006
1222114.29220183,925976.964642533,0,496655.743155636,0,0,2007
1139471.58657909,1119187.49285087,0,401205.920570042,0,0,2008
626295.816120848,1666135.20041316,37366.2711480724,336942.712317917,0,0,2009
409057.785652603,1823387.24888971,0,327733.002251419,161054.963206267,0,2010
436761.181614755,2034719.51730373,79944.0844932438,164631.517999753,17587.6985885136,0,2011
243684.054872563,2355265.76949184,0,147046.1756356,0,0,2012
97713.5018725425,2407107.09138797,0,265633.406739491,0,0,2013
275349.730280946,1915966.93032153,0,602591.339397525,0,0,2014
734051.257987603,2060427.96842858,0,39533.7735838126,0,0,2015
879177.061684754,1932552.75866775,0,48572.1796474948,0,0,2016
1228180.98598455,1575120.04375883,0,55772.4836668371,11328.3476125702,3561.13897721886,2017
469587.100266564,2362672.70403141,10435.2125149928,17586.6696068526,17466.5800135717,891.733566627459,2018
