"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom";"abrechnungsjahr"
968715,015886465;0;0;859874,984113535;0;0;2002
1048804,22701468;47876,0298393797;0;747376,743145943;0;0;2003
843601,982504349;88676,5200292434;0;932137,497466408;0;0;2004
780762,341714419;150919,453163373;6794,48953338791;944383,71558882;0;0;2005
915793,040704142;126935,819645311;25631,0320005235;832940,107650023;0;0;2006
940008,165580711;147371,412533029;10380,2990631756;822826,122823084;0;0;2007
921277,472212833;253299,015839614;26786,655303914;725468,85664364;0;0;2008
842584,73593536;247024,435297386;16688,3344668704;814733,759969538;0;14685,7343308459;2009
717466,050568394;197220,284760506;36359,8833199067;917028,339578035;24810,2733241716;138146,168448987;2010
685923,480685934;72278,2898865217;62653,7328825352;1014669,23585313;29112,0889820712;187045,171709808;2011
745062,945567813;147188,415975957;50539,3470327463;894858,597270106;78484,6330390884;147337,061114289;2012
942555,492817604;177265,204450782;13784,9004676185;877279,681322034;0;64616,7209419618;2013
926919,804090833;66298,13257639;0;1032382,94461513;0;75243,118717649;2014
866777,019123504;156540,682111272;11655,7152561645;950549,398762614;60860,5385211118;73032,6462253342;2015
1067461,67731195;249287,154635722;15986,7561369636;766200,701564285;40978,7103510777;0;2016
970597,875923602;318372,535433803;90577,1115758167;629530,964635903;80657,7155072262;66379,7969236489;2017
877624,163672701;249096,950173135;48160,7192360595;849001,862041926;58001,400420037;107380,904456142;2018
