"abrechnungsjahr","erdgas","waerme","fluessiggas","heizoel","holzpellets","strom"
2002,0.294311343249688,0.592256159872828,0,0.113432496877484,0,0
2003,0.473709030888941,0.236711798359374,0,0.289579170751685,0,0
2004,0.395884816417198,0.152624926099357,0,0.451490257483445,0,0
2005,0.471503067688277,0.356739577955127,0,0.171757354356596,0,0
2006,0.423122885406432,0.427688956169952,0,0.149188158423616,0,0
2007,0.462091191407659,0.350119298610617,0,0.187789509981724,0,0
2008,0.42839451873651,0.420768532557431,0,0.150836948706059,0,0
2009,0.234854472547323,0.624783518608174,0.0140119663514525,0.12635004249305,0,0
2010,0.150320750061683,0.670059215396003,0,0.120435479891438,0.0591845546508759,0
2011,0.159772516690087,0.744324980613326,0.0292445119017852,0.0602241981764097,0.00643379261839275,0
2012,0.0887415913470243,0.857709104271032,0,0.0535493043819438,0,0
2013,0.035269851754457,0.868849326279363,0,0.09588082196618,0,0
2014,0.0985536138917051,0.685765934426448,0,0.215680451681847,0,0
2015,0.259014781508625,0.727035468231298,0,0.0139497502600774,0,0
2016,0.307372110247363,0.675646403305578,0,0.0169814864470587,0,0
2017,0.427347528825022,0.54806552615981,0,0.0194061244584002,0.00394171658179672,0.00123910397497075
2018,0.710447515490047,0.289552484509953,0,0,0,0
