"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom";"total"
2002;27,1194329385728;16,0505944390837;0;13,9438338824571;0;0;57,1138612601136
2003;43,5620801141273;4,902284507552;0;29,9507135879253;0;0;78,4150782096046
2004;36,3442602038002;3,57295512671642;0;43,0772378319057;0;0;82,9944531624223
2005;42,0134237611035;10,3466248792705;0;22,635482277062;0;0;74,9955309174359
2006;38,7241394713529;10,0346400428057;0;15,9588530524515;0;0;64,7176325666101
2007;39,1812683521727;8,59582049488633;0;23,0953547529805;0;0;70,8724436000395
2008;29,4424587603966;12,0925038242513;0;18,2664297410125;0;0;59,8013923256605
2009;19,5045288555559;18,0178648321127;1,62314427293473;12,6393783636511;0;0;51,7849163242544
2010;11,2150367624501;20,6583550722305;0;13,9525053494378;0,0543195448433989;0;45,8802167289618
2011;9,29709906168375;22,5656474507382;1,18848547160582;6,45619647156135;0,0197430552467352;0;39,5271715108359
2012;6,58407048702008;25,3745550036882;0;5,83955472918553;0;0;37,7981802198938
2013;1,55267913344958;27,7683665304572;0;13,7274836076871;0;0;43,0485292715938
2014;3,99171090113918;10,3402167258808;0;31,6988764315879;0;0;46,0308040586078
2015;18,8088596071644;17,6754848703106;0;1,50251608739352;0;0;37,9868605648685
2016;24,919949345608;18,1712946093462;0;2,06415059479862;0;0;45,1553945497528
2017;33,0533024141337;14,123454749655;0;1,88709993712947;0,0248943588419015;0,246997714353181;49,3357491741132
2018;56,9484516464001;8,05378449499899;0;0;0;0;65,002236141399
