Jahr; erdgas ; waerme ; fluessiggas ; heizoel ; holzpellets ; strom ; total 
2002; 0,47   ; 0,28   ; -     ; 0,24   ; -     ; -     ; 1,00   
2003; 0,56   ; 0,06   ; -     ; 0,38   ; -     ; -     ; 1,00   
2004; 0,44   ; 0,04   ; -     ; 0,52   ; -     ; -     ; 1,00   
2005; 0,56   ; 0,14   ; -     ; 0,30   ; -     ; -     ; 1,00   
2006; 0,60   ; 0,16   ; -     ; 0,25   ; -     ; -     ; 1,00   
2007; 0,55   ; 0,12   ; -     ; 0,33   ; -     ; -     ; 1,00   
2008; 0,49   ; 0,20   ; -     ; 0,31   ; -     ; -     ; 1,00   
2009; 0,38   ; 0,35   ; 0,03   ; 0,24   ; -     ; -     ; 1,00   
2010; 0,24   ; 0,45   ; -     ; 0,30   ; 0,00   ; -     ; 1,00   
2011; 0,24   ; 0,57   ; 0,03   ; 0,16   ; 0,00   ; -     ; 1,00   
2012; 0,17   ; 0,67   ; -     ; 0,15   ; -     ; -     ; 1,00   
2013; 0,04   ; 0,65   ; -     ; 0,32   ; -     ; -     ; 1,00   
2014; 0,09   ; 0,22   ; -     ; 0,69   ; -     ; -     ; 1,00   
2015; 0,50   ; 0,47   ; -     ; 0,04   ; -     ; -     ; 1,00   
2016; 0,55   ; 0,40   ; -     ; 0,05   ; -     ; -     ; 1,00   
2017; 0,67   ; 0,29   ; -     ; 0,04   ; 0,00   ; 0,01   ; 1,00   
2018; 0,88   ; 0,12   ; -     ; -     ; -     ; -     ; 1,00   
