"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;0,467427474733374;0;0;0,532572525266626;0;0
2003;0,533124897480441;0,0185388158746808;0;0,448336286644878;0;0
2004;0,435805501601434;0,0416953255443688;0;0,522499172854197;0;0
2005;0,374258350277737;0,0601170562432826;0,00164376051915616;0,563980832959824;0;0
2006;0,437986472179345;0,0608953514342306;0,0117849366818002;0,489333239704624;0;0
2007;0,439592933727269;0,0660311401017556;0,00239307232993265;0,491982853841043;0;0
2008;0,479231225266299;0,111347252254507;0,0125665801799225;0,396854942299271;0;0
2009;0,431240425847604;0,106890633501457;0,00681093754590374;0,453568275895112;0;0,00148972720992378
2010;0,330583649757557;0,0829456022420975;0,0222184792514459;0,500112497986027;0,0105786153753073;0,0535611553875652
2011;0,324557222041954;0,0291647584909709;0,0312478382011642;0,51941843226534;0,0123125417975151;0,0832992072030551
2012;0,356331280709883;0,0514415144026431;0,0319090043399975;0,450717742627322;0,0381959537469254;0,0714045041732292
2013;0,412614369083937;0,0650492100585783;0,00735183946357483;0,49324286102907;0;0,0217417203648402
2014;0,392979344372317;0,0220523314763301;0;0,53865842805106;0;0,0463098961002932
2015;0,362099462647917;0,0350811475896155;0,00117491018130766;0,567053287425192;0,0182102013954466;0,0163809907605217
2016;0,478466159903478;0,0554120444315124;0,00170330951285409;0,457778568911902;0,00663991724025364;0
2017;0,414397946702986;0,110979862087436;0,0216101536654979;0,416698012522907;0,0243844176278541;0,0119296073933194
2018;1;0;0;0;0;0
