"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom";"total"
2002;0,431432255777057;0,115548336995615;0;0,453019407227329;0;0;1
2003;0,513635093512542;0,0339674319521561;0;0,452397474535302;0;0;1
2004;0,410640543665409;0,0283309986681947;0;0,561028457666397;0;0;1
2005;0,442411715482797;0,0777574391044222;0,000833994692183752;0,478996850720597;0;0;1
2006;0,488881181355267;0,0833976781128732;0,00637261489300419;0,421348525638856;0;0;1
2007;0,472715403764672;0,0708686785503561;0,00124146069151304;0,45517445699346;0;0;1
2008;0,472089398337448;0,115888436505352;0,00715898583906679;0,404863179318133;0;0;1
2009;0,390243842361152;0,168733853883015;0,0174007696186369;0,421387025827672;0;0,00223450830952555;1
2010;0,265257733180206;0,184893028720926;0,0134604588233753;0,458265191946571;0,000607575409019147;0,0775160119199023;1
2011;0,246928675379618;0,187136059705735;0,0286635333079061;0,413029670706032;0,000351759790675337;0,123890301110034;1
2012;0,254048372623003;0,239779619155758;0,0200831893566465;0,375231931081426;0,000616413557000729;0,110240474226166;1
2013;0,238218679480467;0,250774597429255;0,00458335938778306;0,472801293945821;0;0,0336220697566744;1
2014;0,236277760951812;0,08172018775034;0;0,614350971302562;0;0,067651079995286;1
2015;0,374505726599599;0,172916484188828;0,000735995773122825;0,427987376869648;0,000297583478620293;0,0235568330901822;1
2016;0,478913970708118;0,17222723854708;0,00105191745901289;0,347699900286633;0,000106972999155804;0;1
2017;0,5117128137762;0,147399595751825;0,0130409197128313;0,309745367010572;0,000604675223999421;0,0174966285245709;1
2018;0,931725224363929;0,0682747756360717;0;0;0;0;1
