"","erdgas","waerme","fluessiggas","heizoel","holzpellets","strom","abrechnungsjahr"
"1",133593265.707255,211192032.093207,0,52420428.129538,0,0,2002
"2",214591527.6558,64503743.5204211,0,112596667.623779,0,0,2003
"3",179035764.55074,47012567.456795,0,161944503.127465,0,0,2004
"4",206962678.626125,136139801.043033,0,85095798.0340675,0,0,2005
"5",190759307.740654,132034737.405338,0,59995688.167111,0,0,2006
"6",193011174.148634,113102901.248504,0,86824641.9284982,0,0,2007
"7",145036742.662052,159111892.424359,0,68670788.5000471,0,0,2008
"8",96081422.9337729,237077168.843588,7057149.01275971,47516460.0137259,0,0,2009
"9",55246486.5145327,271820461.476717,0,52453027.6294654,9053257.47389981,0,2010
"10",45798517.5452401,296916413.825503,5078997.7419052,24271415.3066216,3290509.20778919,0,2011
"11",32433844.7636457,333875723.73274,0,21953213.2676148,0,0,2012
"12",7686530.36361176,365373243.821805,0,51413796.2834722,0,0,2013
"13",19859258.2146228,136055483.235273,0,118279389.670104,0,0,2014
"14",93576415.9560417,232572169.346193,0,5606403.31116984,0,0,2015
"15",123979847.490587,239095981.701923,0,7702054.45820382,0,0,2016
"16",164444290.617581,185834930.916513,0,7041417.67585625,4149059.80698359,505107.800313253,2017
"17",283325630.081592,105970848.618408,0,0,0,0,2018
