"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;0,52976064393137;0;0;0,47023935606863;0;0
2003;0,568748269177513;0,0259623373026862;0;0,405289393519801;0;0
2004;0,452475189284124;0,0475626255241553;0;0,499962185191721;0;0
2005;0,414668292764422;0,0801543679101859;0,00360860049785322;0,501568738827539;0;0
2006;0,481666775734572;0,0667626464236634;0,0134807931418101;0,438089784699954;0;0
2007;0,489438205620946;0,0767325246216671;0,00540475618544319;0,428424513571943;0;0
2008;0,478130668482168;0,131458796532139;0,0139019153221007;0,376508619663593;0;0
2009;0,435283017060531;0,127613920473595;0,00862126770952075;0,420895079171975;0;0,00758671558437826
2010;0,353252141679962;0,0971035325214168;0,0179021803802634;0,451508785231754;0,0122156054359444;0,0680177547506595
2011;0,334322512302557;0,0352287975848702;0,030537740684246;0,494554826651075;0,0141893768050172;0,0911667459722353
2012;0,361072651647546;0,071330498938903;0,0244923951113179;0,433666670028368;0,0380352488787526;0,0714025353951128
2013;0,454133743459464;0,0854083515461714;0,00664171871075938;0,422683129826921;0;0,0311330564566846
2014;0,441213057271665;0,0315578560694607;0;0,491413424611788;0;0,0358156620470863
2015;0,408969744082098;0,0738602908118425;0,00549949384932663;0,448495905835671;0,0287157115550283;0,034458853866034
2016;0,498833681390126;0,116493951692344;0,0074707435281138;0,358051932700264;0,0191496906891524;0
2017;0,450160323435104;0,147660207258702;0,0420093870533017;0,291974534132627;0,0374088015242344;0,0307867465960314
2018;1;0;0;0;0;0
