"","abrechnungsjahr","gesamtVerbrauch","inTWh"
"1",2002,345776688.229412,0.345776688229412
"2",2003,351675692.416771,0.351675692416771
"3",2004,363052526.940632,0.363052526940632
"4",2005,337243741.888608,0.337243741888608
"5",2006,325330819.622951,0.325330819622951
"6",2007,325580150.618698,0.325580150618698
"7",2008,315521033.847619,0.315521033847619
"8",2009,322409386.718364,0.322409386718364
"9",2010,317277240.424079,0.317277240424079
"10",2011,325261540.704545,0.325261540704545
"11",2012,297691175.73729,0.29769117573729
"12",2013,315635979.2872,0.3156359792872
"13",2014,349391699.107302,0.349391699107302
"14",2015,290609505.065455,0.290609505065455
"15",2016,303205873.220769,0.303205873220769
"16",2017,295813234.883636,0.295813234883636
"17",2018,263478163.1,0.2634781631
